,EIN,tax_pd,contributed_rev,earned_program_service_rev,total_rev,total_exp,gross_rev,Source,45_of_Gross_max_10m,45_of_Earned_max_10m,100_of_Earned_upto_45_Gross_max_10m,NAME,STATE,NAICS,NTEEFINAL
2242,391626854,201612,114769,0,114769,173682,114769,2017-990,51646.05,0.0,0.0,WISCONSIN BLACK HISTORICAL SOCIETY,WI,712120.0,A82
2303,411765488,201612,2225,0,2231,15045,2231,2017-990,1003.95,0.0,0.0,NORWEGIAN EMIGRANT MUSEUM,IA,712110.0,A50
2346,421491872,201612,10355,0,10355,10260,10355,2017-990,4659.75,0.0,0.0,IOWA TRANSPORTATION MUSEUM,IA,712110.0,A50
2357,421708410,201612,0,0,0,31235,0,2017-990,0.0,0.0,0.0,CENTRAL VIRGINIA HISTORIC PRESERVATION FOUNDATION INC,VA,712120.0,A82
2389,431567143,201512,0,0,900,0,900,2017-990,405.0,0.0,0.0,LANDMARKS HISTORIC TRUST CORP,MO,712120.0,A82
2413,436202440,201606,15259,0,29036,51731,30115,2017-990,13551.75,0.0,0.0,NODAWAY COUNTY HISTORICAL SOCIETY INC,MO,712120.0,A82
2417,446014674,201612,8660,51680,60895,62385,60895,2017-990,27402.75,23256.0,27402.75,GARDEN CENTER ASSOCIATION OF GREATER KANSAS CITY,MO,712130.0,C40
2425,450413519,201612,39464,82182,121647,121208,121647,2017-990,54741.15,36981.9,54741.15,CHILDRENS MUSEUM AT YUNKER FARM,ND,712110.0,A52
2470,452650715,201605,176653,0,176653,120250,176653,2017-990,79493.85,0.0,0.0,HONOR FLIGHT PHILADELPHIA CORPORATION,PA,712120.0,A84
2588,455160898,201512,0,0,0,0,0,2017-990,0.0,0.0,0.0,MESOPOTAMIA HISTORICAL INSTITUTE INC,OH,712120.0,A80
2797,463186127,201606,183266,3255,229963,265053,274939,2017-990,123722.55,1464.75,3255.0,KINGMAN VISITOR CENTER INC,AZ,712110.0,A50
2828,463836811,201612,0,0,0,0,0,2017-990,0.0,0.0,0.0,PRESERVING INNOCENCE FOUNDATION,TX,712120.0,A82
2923,465436388,201512,0,0,0,0,0,2017-990,0.0,0.0,0.0,GEORGIA ZOOLOGICAL SOCIETY INC,GA,712130.0,D50
3014,471643625,201612,5810,0,5810,1367,5810,2017-990,2614.5,0.0,0.0,BIBLE HISTORY MUSEUM,TX,712110.0,A50
3032,471999002,201704,0,0,0,0,0,2017-990,0.0,0.0,0.0,FRIENDS OF PLUME HOUSE INC,NJ,712120.0,A80
3243,480882253,201705,26230,0,29684,34863,29684,2017-990,13357.800000000001,0.0,0.0,WASHINGTON COUNTY HISTORICAL SOCIETY,KS,712120.0,A82
3264,510153202,201612,178189,10850,230423,177766,331010,2017-990,148954.5,4882.5,10850.0,BOONE COUNTY HISTORICAL SOCIETY,IA,712120.0,A82
3266,510157403,201612,14234,17101,31335,44079,31335,2017-990,14100.75,7695.45,14100.75,DUFUR HISTORICAL SOCIETY & LIVING HISTORY MUSEUM INC,OR,712110.0,A50
3286,510386521,201612,0,0,7834,46314,7834,2017-990,3525.3,0.0,0.0,FRIENDS OF WOODBURN INC,DE,712120.0,A80
3318,521046926,201609,0,291595,303709,213744,303709,2017-990,136669.05000000002,131217.75,136669.05000000002,WASHINGTON PRESS CLUB FOUNDATION INC,DC,712120.0,A80
3530,561937133,201706,0,0,23999,111812,314139,2017-990,141362.55000000002,0.0,0.0,FIRST FLIGHT FOUNDATION,NC,712120.0,A80
3617,581807958,201606,39950,0,-67310,24500,3132888,2017-990,1409799.6,0.0,0.0,EXECUTIVE MANSION FUND INC,NC,712120.0,A82
3632,582216137,201612,110270,0,110270,147188,110270,2017-990,49621.5,0.0,0.0,INSTITUTE FOR NORTHWEST GEORGIA HISTORY LTD,GA,712110.0,A54
3745,611314628,201612,85000,0,85000,0,85000,2017-990,38250.0,0.0,0.0,HAMERON AUTOMOBILE & BOAT MUSEUM INC,TN,712110.0,A50
3795,621692456,201612,1683,31193,32876,20369,32876,2017-990,14794.2,14036.85,14794.2,ARKANSAS FALLEN FIREFIGHTERS MEMORIAL,AR,712120.0,A80
3817,630947714,201612,4000,37063,41396,63515,41396,2017-990,18628.2,16678.350000000002,18628.2,ALABAMA TRUST FOR HISTORIC PRESERVATION,AL,712120.0,A82
3831,631149586,201612,15303,0,15303,23124,15303,2017-990,6886.35,0.0,0.0,SOUTH BALDWIN MUSEUM FOUNDATON INC,AL,712110.0,A50
3942,710518731,201612,12327,22357,34768,54307,34768,2017-990,15645.6,10060.65,15645.6,BOONE COUNTY HISTORICAL & RAILROAD SOCIETY INC,AR,712110.0,A54
3990,721155668,201612,13972,0,13972,8851,13972,2017-990,6287.400000000001,0.0,0.0,LOUISIANA BLACK HISTORY HALL OF FAME,LA,712110.0,A50
4001,721430320,201609,60664,0,62071,65464,62071,2017-990,27931.95,0.0,0.0,FRIENDS OF MAGNOLIA MOUND PLANTATION INC,LA,712120.0,A82
4020,731201026,201612,964,0,47585,5695,51575,2017-990,23208.75,0.0,0.0,THE SKIATOOK MUSEUM,OK,712110.0,A50
4051,736104293,201612,11325,755,14938,66256,15087,2017-990,6789.150000000001,339.75,755.0,NO MANS LAND HISTORICAL SOCIETY,OK,712120.0,A82
4148,746082236,201705,9667,3230,1947,46693,419042,2017-990,188568.9,1453.5,3230.0,DAUGHTERS OF THE REPUBLIC OF TX INC,TX,712120.0,A80
4154,750701195,201612,2200,15800,27577,33919,27577,2017-990,12409.65,7110.0,12409.65,OAKLAND MEMORIAL PARK ASSOCIATION,TX,712120.0,A80
4177,751729040,201612,4574,0,4574,7604,4574,2017-990,2058.3,0.0,0.0,LANCASTER HISTORICAL SOCIETY INC,TX,712120.0,A82
4192,752335230,201612,191190,342374,869791,1272930,1065059,2017-990,479276.55,154068.30000000002,342374.0,C R SMITH MUSEUM FOUNDATION,TX,712110.0,A50
4233,753107505,201612,4877,0,4999,11215,7772,2017-990,3497.4,0.0,0.0,OLD TOWN AUBURN PRESERVATION SOCIETY,CA,712120.0,A82
4491,812681969,201612,5825,0,5825,5538,5825,2017-990,2621.25,0.0,0.0,HOBERGS HISTORICAL ASSOCIATION INC,CA,712120.0,A82
4602,830317404,201612,5766,0,34648,40228,35856,2017-990,16135.2,0.0,0.0,WIND RIVER HERITAGE CENTER,WY,712110.0,A54
4687,860790385,201612,84814,0,84814,5635,84814,2017-990,38166.3,0.0,0.0,CASTANEDA MUSEUM OF ETHNIC COSTUME INC,AZ,712110.0,A50
4761,900883474,201612,0,0,2387662,914996,22276272,2017-990,10000000.0,0.0,0.0,AMERICAN CRAFTSMAN MUSEUM INC,FL,712110.0,A50
4887,931283147,201706,1462,0,26160,31456,64447,2017-990,29001.15,0.0,0.0,LOWER COLUMBIA PRESERVATION SOCIETY,OR,712120.0,A82
4928,942847227,201706,3100,0,-59664,134748,284590,2017-990,128065.5,0.0,0.0,HAYS ANTIQUE TRUCK MUSEUM,CA,712110.0,A50
4943,943091028,201612,123876,0,128349,7030,128349,2017-990,57757.05,0.0,0.0,NORTHERN KITTITAS COUNTY HISTORICAL SOCIETY,WA,712120.0,A82
5106,10458774,201512,936,0,1721,854,1721,2017-990ez,774.45,0.0,0.0,TEMPLE HISTORICAL SOCIETY INC,ME,712120.0,A82
5126,10532105,201612,19756,0,28020,31410,37338,2017-990ez,16802.100000000002,0.0,0.0,WINSLOW FAMILY FOURTH OF JULY COMMITTEE,ME,712120.0,A84
5131,10543360,201610,3046,1307,12177,5294,18536,2017-990ez,8341.2,588.15,1307.0,MATTHEWS MUSEUM OF MAINE HERITAGE,ME,712110.0,A50
5228,16048312,201612,0,0,525,445,525,2017-990ez,236.25,0.0,0.0,MAINE SCIETY FOR HISTOTECHNOLOGY,ME,712120.0,A80
5273,20626936,201706,30568,0,113193,157754,137224,2017-990ez,61750.8,0.0,0.0,PTA TENNESSEE CONGRESS OF PARENT TEACHERS INC,TN,712110.0,A50
5298,20777972,201512,1400,0,1480,0,1480,2017-990ez,666.0,0.0,0.0,MCKEESPORT PRESERVATION SOCIETY,MD,712120.0,A82
5379,42621751,201512,13467,0,13556,14685,13556,2017-990ez,6100.2,0.0,0.0,NEW MARLBOROUGH HISTORICAL SOCIETY INC,MA,712120.0,A82
5381,42642339,201512,2812,0,3607,5538,4129,2017-990ez,1858.05,0.0,0.0,HOLBROOK HISTORICAL SOCIETY INC,MA,712120.0,A82
5384,42676767,201609,63705,0,65373,72832,65373,2017-990ez,29417.850000000002,0.0,0.0,VILLAGE IMPROVEMENT AND HISTORICAL SOCIETY OF ROYALSTON INC,MA,712120.0,A82
5385,42677212,201612,190,0,190,190,190,2017-990ez,85.5,0.0,0.0,HARVARD SQUARE DEFENSE FUND INC,MA,712120.0,A80
5406,43011889,201612,0,120,258,441,258,2017-990ez,116.10000000000001,54.0,116.10000000000001,EAST BRIDGEWATER HISTORICAL SOCIETY,MA,712120.0,A82
5438,43266567,201605,26898,0,30593,16779,30593,2017-990ez,13766.85,0.0,0.0,FRIENDS OF THE LONGFELLOW HOUSE WASHINGTONS HEADQUARTERS INC,MA,712120.0,A80
5445,43294713,201606,5125,0,10929,16758,10929,2017-990ez,4918.05,0.0,0.0,WORCESTER WOMENS HISTORY PROJECT INC,MA,712120.0,A84
5457,43379402,201612,7737,0,7737,4654,7737,2017-990ez,3481.65,0.0,0.0,28TH MASSACHUSETTS VOLUNTEER INFANTRY,MA,712120.0,A84
5568,50476508,201612,37248,0,45288,32222,70685,2017-990ez,31808.25,0.0,0.0,BEAVERTAIL LIGHTHOUSE MUSEUM ASSN,RI,712110.0,A50
5574,50501547,201612,10344,10512,20936,21420,20936,2017-990ez,9421.2,4730.400000000001,9421.2,TSE TSE GALLERY,RI,712110.0,A50
5619,61023001,201705,373,0,525,2367,525,2017-990ez,236.25,0.0,0.0,BANTAM HISTORICAL SOCIETY INC,CT,712120.0,A82
5686,61597692,201612,6746,9675,16422,21157,16422,2017-990ez,7389.900000000001,4353.75,7389.900000000001,BLUE SLOPE COUNTRY MUSEUM INC,CT,712110.0,A50
5692,61652828,201612,7152,0,7152,3633,7152,2017-990ez,3218.4,0.0,0.0,SOUTHPORT FLAG PROJECT,IN,712120.0,A84
5708,61734634,201612,25940,0,37784,17717,44264,2017-990ez,19918.8,0.0,0.0,STAPLES HISTORICAL SOCIETY,MN,712120.0,A82
5711,61754218,201612,6006,0,6006,4772,6006,2017-990ez,2702.7000000000003,0.0,0.0,OSWEGO TOWN HISTORICAL SOCIETY,NY,712120.0,A82
5716,61784807,201705,0,0,28923,28219,31387,2017-990ez,14124.15,0.0,0.0,NEW ENGLAND USSSA HALL OF FAME INC,MA,712110.0,A50
5748,66067831,201612,3410,0,28862,54149,29669,2017-990ez,13351.050000000001,0.0,0.0,MONROE HISTORICAL SOCIETY INCORPORATED,CT,712120.0,A82
5778,112575889,201612,21671,0,39941,40289,46241,2017-990ez,20808.45,0.0,0.0,LONG ISLAND LIVE STEAMERS INC,NY,712120.0,A82
5811,113099784,201606,19534,0,19554,4004,19554,2017-990ez,8799.300000000001,0.0,0.0,WOODHAVEN CULTURAL AND HISTORICAL SOCIETY,NY,712120.0,A82
5834,113333011,201512,0,0,35,1913,35,2017-990ez,15.75,0.0,0.0,GREEK MUSEUM,NY,712110.0,A50
5839,113395358,201612,30188,0,30188,21628,30188,2017-990ez,13584.6,0.0,0.0,ASSOCIATION OF HOLOCAUST SURVIVORS FROM THE FORMER SOVIET UNION INC,NY,712120.0,A80
5893,113756321,201612,11939,0,15541,4097,15541,2017-990ez,6993.45,0.0,0.0,ST PATRICKS CHAPEL HISTORICAL SOCIETY INC,MD,712120.0,A82
5897,113782264,201612,240,0,240,240,240,2017-990ez,108.0,0.0,0.0,HISTORICAL HOME OF ANGELA Y DAVIS INC,GA,712120.0,A82
5915,113840257,201612,5494,0,5658,29967,6367,2017-990ez,2865.15,0.0,0.0,LUCK AREA HISTORICAL SOCIETY,WI,712120.0,A82
5916,116014418,201512,12000,0,12420,0,12420,2017-990ez,5589.0,0.0,0.0,SIXTH MEMORIAL ASSOCIATION INC,NY,712120.0,A80
6012,133874397,201612,415,2432,38344,32471,38344,2017-990ez,17254.8,1094.4,2432.0,AMERICAN SOCIETY OF JEWELRY HISTORIANS,NY,712120.0,A80
6059,134296577,201612,71371,0,71371,71400,71371,2017-990ez,32116.95,0.0,0.0,STEREOTYPE EATING DISORDERS AWARENESS FOUNDATION,MI,712120.0,A82
6074,136117924,201612,0,0,9650,9525,9650,2017-990ez,4342.5,0.0,0.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,NY,712110.0,A50
6097,141561004,201612,0,0,0,1667,0,2017-990ez,0.0,0.0,0.0,ZADOCK PRATT MUSEUM INC,NY,712110.0,A54
6109,141744698,201612,0,0,4244,6922,6794,2017-990ez,3057.3,0.0,0.0,THE 125TH NEW YORK REGIMENTAL ASSOCIATION,NY,712120.0,A80
6122,141796393,201612,1932,0,4049,5286,5578,2017-990ez,2510.1,0.0,0.0,TOWN OF LLOYD HISTORICAL PRESERVATION SOCIETY,NY,712120.0,A82
6130,141816339,201612,6885,4415,15840,32846,19042,2017-990ez,8568.9,1986.75,4415.0,BATTLE OF PLATTSBURGH ASSOCIATION,NY,712110.0,A54
6131,141822687,201612,0,0,120641,12705,120641,2017-990ez,54288.450000000004,0.0,0.0,ANCRAM PRESERVATION GROUP INC,NY,712120.0,A80
6197,160926728,201512,26730,0,33835,38433,34973,2017-990ez,15737.85,0.0,0.0,BIG SPRINGS HISTORICAL SOCIETY OF CALEDONIA,NY,712120.0,A82
6204,161146016,201512,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,NIAGARA FRONTIER VINTAGE AIRCRAFT GROUP INC,NY,712110.0,A50
6311,161765591,201612,27232,0,27233,11561,27233,2017-990ez,12254.85,0.0,0.0,SUFFOLK RIVER HERITAGE INC,VA,712120.0,A82
6317,166050969,201612,40,0,1861,1582,4886,2017-990ez,2198.7000000000003,0.0,0.0,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,NY,712120.0,A80
6319,166058356,201612,630,77501,92239,105954,92239,2017-990ez,41507.55,34875.450000000004,41507.55,CENTRAL NEW YORK GENEALOGICAL SOCIETY,NY,712120.0,A80
6342,200128885,201612,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,MONUMENT OF THE IMMORTALS,CA,712110.0,A54
6349,200149820,201612,7067,0,7067,6567,7067,2017-990ez,3180.15,0.0,0.0,THE ACTORS HALL OF FAME FOUNDATION,CA,712110.0,A50
6361,200242392,201512,70,0,70,135,70,2017-990ez,31.5,0.0,0.0,BUTTS COUNTY GENEALOGICAL SOCIETY,GA,712120.0,A80
6423,200749769,201612,0,0,0,11802,0,2017-990ez,0.0,0.0,0.0,WILLIAM F EISNER MUSEUM OF ADVERTISING & DESIGN INC,WI,712110.0,A50
6434,200847318,201612,0,0,0,1087,0,2017-990ez,0.0,0.0,0.0,SANDMINERS MONUMENT INC,NY,712120.0,A80
6473,201146960,201706,9220,0,9220,5600,9220,2017-990ez,4149.0,0.0,0.0,AMESBURY CARRIAGE ALLIANCE INC,MA,712110.0,A54
6559,201715171,201612,3400,0,6776,4352,6776,2017-990ez,3049.2000000000003,0.0,0.0,HOWARD SCHOOL RESTORATION GROUP INC,IN,712110.0,A54
6724,203064045,201612,13552,0,19424,3594,35558,2017-990ez,16001.1,0.0,0.0,OVIEDO PRESERVATION PROJECT INC,FL,712120.0,A80
6746,203164040,201612,10664,11600,22264,14633,22264,2017-990ez,10018.800000000001,5220.0,10018.800000000001,EDUCATIONAL FOUNDATION & MUSEUM OF BEULAH RUCKER INC,GA,712110.0,A50
6748,203168556,201612,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,LAKE COUNTY HERITAGE FARM FOUNDATION,IL,712120.0,A82
6757,203233585,201706,0,6922,6922,334,6922,2017-990ez,3114.9,3114.9,3114.9,FIGLER FAMILY FOUNDATION,CA,712110.0,A50
6786,203435648,201606,33537,0,33582,6731,33582,2017-990ez,15111.9,0.0,0.0,MENIFEE VALLEY HISTORICAL ASSOCIATION,CA,712120.0,A82
6813,203608339,201312,9624,11375,24002,30180,24002,2017-990ez,10800.9,5118.75,10800.9,MARLBORO VOLUNTEERS INC,OH,712120.0,A84
6825,203682000,201512,0,0,442,495,442,2017-990ez,198.9,0.0,0.0,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,TN,712120.0,A80
6885,204202242,201612,0,0,192,1564,192,2017-990ez,86.4,0.0,0.0,ANACONDA RAILROAD AND MINING MUSEUMINC,MT,712110.0,A50
7053,205421890,201612,31009,0,31009,13954,31009,2017-990ez,13954.050000000001,0.0,0.0,ALABAMA AVIATION HALL OF FAME FOUNDATION,AL,712110.0,A50
7086,205682758,201612,74588,7518,82114,64478,82114,2017-990ez,36951.3,3383.1,7518.0,HOUSTON HISTORY ASSOCIATION,TX,712120.0,A80
7087,205686991,201512,60,0,285,0,900,2017-990ez,405.0,0.0,0.0,SONS OF THE REVOLUTION IN THE STATEOF INDIANA INCORPORATED,IN,712120.0,A80
7180,208293286,201512,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,SAM SIRIANNI MEMORIAL INC,FL,712120.0,A80
7213,208492868,201612,8404,0,8404,3586,8404,2017-990ez,3781.8,0.0,0.0,GARLAND HOTEL,IA,712120.0,A80
7229,208615264,201612,2000,0,26800,16675,26800,2017-990ez,12060.0,0.0,0.0,SERRA CROSS CONSERVANCY,CA,712120.0,A80
7242,208758193,201612,0,0,256,2483,256,2017-990ez,115.2,0.0,0.0,RYU HERITAGE FOUNDATION NFP,IL,712120.0,A82
7278,210683961,201612,7649,158,7807,2229,7807,2017-990ez,3513.15,71.10000000000001,158.0,BURLINGTON COUNTY LYCEUM OF HISTORY & NATURAL SCIENCES,NJ,712120.0,A80
7314,222368466,201612,77129,0,77129,57204,77129,2017-990ez,34708.05,0.0,0.0,GARDEN STATE PUJA COMMITTEE,NJ,712130.0,C41
7353,222579038,201612,0,0,38,16459,38,2017-990ez,17.1,0.0,0.0,THE AGRICULTURAL MUSEUM OF THE STATE OF NEW JERSEY,NJ,712110.0,A57
7356,222599559,201612,88885,4836,161158,152022,168424,2017-990ez,75790.8,2176.2000000000003,4836.0,HISTORIC RITTENHOUSETOWN INC,PA,712120.0,A80
7389,222905284,201612,380,0,13209,13486,14028,2017-990ez,6312.6,0.0,0.0,ABSECON HISTORICAL SOCIETY INC,NJ,712120.0,A82
7412,223049979,201512,158,0,10886,7508,10886,2017-990ez,4898.7,0.0,0.0,BOLTON HISTORICAL SOCIETY,MA,712120.0,A82
7430,223133450,201605,1174,0,26718,1779,26718,2017-990ez,12023.1,0.0,0.0,HEBRON PRESERVATION SOCIETY,NY,712120.0,A82
7518,223787777,201612,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,AFRICA HERITAGE FOUNDATION,GA,712120.0,A82
7539,223886241,201612,0,1696,1696,3671,1696,2017-990ez,763.2,763.2,763.2,PERFORMANCE GALLERY,OH,712110.0,A50
7643,232669489,201512,2561,0,2561,950,2561,2017-990ez,1152.45,0.0,0.0,SHARON HILL HISTORICAL SOCIETY,PA,712120.0,A82
7657,232794999,201612,0,0,0,0,0,2017-990ez,0.0,0.0,0.0,STEAMTOWN NATIONAL PARTNERSHIP,PA,712120.0,A80
7662,232869100,201512,0,0,1554,10842,1554,2017-990ez,699.3000000000001,0.0,0.0,LACKAWANNA CHAPTER OF THE RAILWAY & LOCOMOTIVE HISTORICAL SOCIETYY,NJ,712120.0,A82
7714,236462229,201612,1967,0,1967,1981,1967,2017-990ez,885.15,0.0,0.0,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,PA,712120.0,A80
7718,237004374,201608,51142,0,58901,30480,59001,2017-990ez,26550.45,0.0,0.0,GIBSON ISLAND HISTORICAL SOCIETY INC,MD,712120.0,A82
7824,237105428,201612,0,0,17577,4056,17577,2017-990ez,7909.650000000001,0.0,0.0,THOMASTON HISTORICAL SOCIETY INC,CT,712120.0,A82
7934,237167794,201704,6010,1435,31580,27235,37660,2017-990ez,16947.0,645.75,1435.0,LINKS INC,GA,712120.0,A80
7992,237215310,201609,112,1646,5363,6365,5363,2017-990ez,2413.35,740.7,1646.0,DOUGLAS HISTORICAL SOCIETY INC,MA,712120.0,A82
8000,237225013,201612,16932,285,27094,32516,43178,2017-990ez,19430.100000000002,128.25,285.0,HISTORIC HAGERSTOWN INC,IN,712110.0,A54
8020,237251059,201612,5855,0,11958,34231,16676,2017-990ez,7504.2,0.0,0.0,WILLIAMS COUNTY HISTORICAL SOCIETY,OH,712120.0,A82
8083,237346729,201606,122063,0,123145,13104,123145,2017-990ez,55415.25,0.0,0.0,AVON HISTORICAL SOCIETY INC,CT,712120.0,A82
8084,237346730,201604,1952,4500,9644,11119,11610,2017-990ez,5224.5,2025.0,4500.0,ASPINOCK HISTORICAL SOCIETY OF PUTNAM,CT,712120.0,A82
8085,237350846,201707,2528,0,23903,27866,23903,2017-990ez,10756.35,0.0,0.0,SONS AND DAUGHTERS OF THE FIRST SETTLERS OF NEWBURY MASS INC,MA,712120.0,A80
8103,237366882,201612,0,0,73,0,73,2017-990ez,32.85,0.0,0.0,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,TX,712120.0,A80
8111,237374414,201612,24364,0,52977,33607,60030,2017-990ez,27013.5,0.0,0.0,TUSTIN AREA HISTORICAL SOCIETY,CA,712120.0,A82
8115,237375944,201612,102671,6220,136210,38368,139188,2017-990ez,62634.6,2799.0,6220.0,HAMILTON COUNTY CHAPTER OF THE OHIO GENEALOGICAL SOCIETY,OH,712120.0,A80
8117,237376392,201612,4298,0,12054,8801,16383,2017-990ez,7372.35,0.0,0.0,COMMUNITY FOURTH OF JULY COMMITTEE,NJ,712120.0,A84
8121,237378930,201512,25804,0,30158,37629,31673,2017-990ez,14252.85,0.0,0.0,UNION HISTORICAL SOCIETY,ME,712120.0,A82
8179,237443012,201605,2188,7721,8568,6823,14056,2017-990ez,6325.2,3474.4500000000003,6325.2,DARIEN HISTORICAL SOCIETY,IL,712120.0,A82
8208,237525744,201612,533,0,35884,53397,35884,2017-990ez,16147.800000000001,0.0,0.0,SONS OF NORWAY,MT,712120.0,A80
8282,237702513,201511,0,0,3006,2790,3006,2017-990ez,1352.7,0.0,0.0,HISTORIC MOUNT PLEASANT INC,DC,712120.0,A80
