,100_of_Earned_upto_45_Gross_max_10m,45_of_Earned_max_10m,45_of_Gross_max_10m,EIN,Number of employees,Source,contributed_rev,earned_program_service_rev,gross_rev,tax_pd,total_exp,total_rev,NAME,STATE,NAICS,NTEEFINAL
818,0.0,0.0,36498.15,232674396,0,2017-990,81107,0,81107,201512,125086,81107,HISTORIC ST PETERS CHURCH PRESERVATION CORP,PA,712120.0,A82
830,0.0,0.0,5904.45,232937635,0,2017-990,6617,0,13121,201512,8676,9732,WALLENPAUPACK HISTORICAL SOCIETY INC,PA,712120.0,A82
904,0.0,0.0,18733.5,237128638,0,2017-990,1210,0,41630,201706,18734,41603,NORDICA MEMORIAL ASSOCIATION INC,ME,712110.0,A54
991,0.0,0.0,12871.35,237402806,0,2017-990,23724,0,28603,201612,20040,28603,PLEASANT HILL HISTORICAL SOCIETY,MO,712120.0,A82
1013,10500.0,4725.0,305463.60000000003,237522498,0,2017-990,0,10500,678808,201612,6962,20676,DAUGHTERS OF AMERICA,TX,712120.0,A80
1014,0.0,0.0,11373.75,237525671,0,2017-990,0,0,25275,201612,16671,24804,SONS OF NORWAY,WA,712120.0,A80
1125,0.0,0.0,0.0,260700095,0,2017-990,0,0,0,201612,0,0,IDAHO AQUARIUM INC,ID,712130.0,D50
1584,0.0,0.0,41663.700000000004,274726818,1,2017-990,92136,0,92586,201609,61826,91298,NATIONAL MUSEUM OF ANIMALS & SOCIETY,CA,712110.0,A50
1617,0.0,0.0,12721.050000000001,300193523,2,2017-990,28057,0,28269,201612,77165,28269,COWLITZ RIVER VALLEY HISTORICAL SOCIETY,WA,712120.0,A82
1640,0.0,0.0,6547.5,300599536,0,2017-990,14550,0,14550,201612,11797,14550,FORGOTTEN IMAGES INC,CA,712110.0,A50
1683,0.0,0.0,333507.60000000003,311264689,0,2017-990,740000,0,741128,201612,16752,741128,PRESERVATION GREENSBORO DEVELOPMENT FUND INC,NC,712120.0,A80
1720,0.0,0.0,1325613.6,311635100,0,2017-990,2945808,0,2945808,201612,43752,2945808,SOCIETY FOR THE PRESERVATION OF PUTNAM CO ANTIQUITIES & GREENWAYS,NY,712120.0,A82
1723,0.0,0.0,22624.2,311653082,0,2017-990,46263,0,50276,201706,51595,47485,SOCIETY FOR THE PRESERVATION OF BRITISH TRANSPORTATION IN AMERICA,OH,712110.0,A50
1760,0.0,0.0,185032.80000000002,320170039,0,2017-990,411184,0,411184,201612,5065,411184,PROP AND JET AIR MUSEUM INC,CA,712110.0,A50
1925,4135.0,1860.75,42714.0,351921889,0,2017-990,77929,4135,94920,201612,38368,91597,MILITARY HONOR PARK AND MUSEUM INC,IN,712110.0,A54
1974,76953.0,34628.85,229073.4,362936232,7,2017-990,332783,76953,509052,201609,1112308,452850,CHICAGO METRO HISTORY EDUCATION CENTER,IL,712120.0,A80
2047,30554.100000000002,14522.4,30554.100000000002,366086058,0,2017-990,23000,32272,67898,201612,78226,67898,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,IL,712120.0,A80
2109,0.0,0.0,58174.200000000004,376332661,0,2017-990,1500,0,129276,201706,123318,129276,ILLINOIS HISTORIC PRESERVATION AGENCY TR,IL,712120.0,A82
2137,3030.0,1363.5,19494.0,382405194,0,2017-990,40171,3030,43320,201709,48127,43320,ELK RAPIDS AREA HISTORICAL SOCIETY,MI,712120.0,A82
2218,137.0,61.65,20502.45,386101385,1,2017-990,3650,137,45561,201605,15407,5561,BERNARD HISTORICAL SOCIETY MUSEUM,MI,712110.0,A50
2242,0.0,0.0,51646.05,391626854,2,2017-990,114769,0,114769,201612,173682,114769,WISCONSIN BLACK HISTORICAL SOCIETY,WI,712120.0,A82
2303,0.0,0.0,1003.95,411765488,0,2017-990,2225,0,2231,201612,15045,2231,NORWEGIAN EMIGRANT MUSEUM,IA,712110.0,A50
2346,0.0,0.0,4659.75,421491872,0,2017-990,10355,0,10355,201612,10260,10355,IOWA TRANSPORTATION MUSEUM,IA,712110.0,A50
2357,0.0,0.0,0.0,421708410,0,2017-990,0,0,0,201612,31235,0,CENTRAL VIRGINIA HISTORIC PRESERVATION FOUNDATION INC,VA,712120.0,A82
2389,0.0,0.0,405.0,431567143,0,2017-990,0,0,900,201512,0,900,LANDMARKS HISTORIC TRUST CORP,MO,712120.0,A82
2413,0.0,0.0,13551.75,436202440,1,2017-990,15259,0,30115,201606,51731,29036,NODAWAY COUNTY HISTORICAL SOCIETY INC,MO,712120.0,A82
2417,27402.75,23256.0,27402.75,446014674,0,2017-990,8660,51680,60895,201612,62385,60895,GARDEN CENTER ASSOCIATION OF GREATER KANSAS CITY,MO,712130.0,C40
2425,54741.15,36981.9,54741.15,450413519,0,2017-990,39464,82182,121647,201612,121208,121647,CHILDRENS MUSEUM AT YUNKER FARM,ND,712110.0,A52
2470,0.0,0.0,79493.85,452650715,0,2017-990,176653,0,176653,201605,120250,176653,HONOR FLIGHT PHILADELPHIA CORPORATION,PA,712120.0,A84
2588,0.0,0.0,0.0,455160898,0,2017-990,0,0,0,201512,0,0,MESOPOTAMIA HISTORICAL INSTITUTE INC,OH,712120.0,A80
2797,3255.0,1464.75,123722.55,463186127,5,2017-990,183266,3255,274939,201606,265053,229963,KINGMAN VISITOR CENTER INC,AZ,712110.0,A50
2828,0.0,0.0,0.0,463836811,0,2017-990,0,0,0,201612,0,0,PRESERVING INNOCENCE FOUNDATION,TX,712120.0,A82
2923,0.0,0.0,0.0,465436388,0,2017-990,0,0,0,201512,0,0,GEORGIA ZOOLOGICAL SOCIETY INC,GA,712130.0,D50
3014,0.0,0.0,2614.5,471643625,0,2017-990,5810,0,5810,201612,1367,5810,BIBLE HISTORY MUSEUM,TX,712110.0,A50
3032,0.0,0.0,0.0,471999002,0,2017-990,0,0,0,201704,0,0,FRIENDS OF PLUME HOUSE INC,NJ,712120.0,A80
3243,0.0,0.0,13357.800000000001,480882253,0,2017-990,26230,0,29684,201705,34863,29684,WASHINGTON COUNTY HISTORICAL SOCIETY,KS,712120.0,A82
3264,10850.0,4882.5,148954.5,510153202,3,2017-990,178189,10850,331010,201612,177766,230423,BOONE COUNTY HISTORICAL SOCIETY,IA,712120.0,A82
3266,14100.75,7695.45,14100.75,510157403,0,2017-990,14234,17101,31335,201612,44079,31335,DUFUR HISTORICAL SOCIETY & LIVING HISTORY MUSEUM INC,OR,712110.0,A50
3286,0.0,0.0,3525.3,510386521,0,2017-990,0,0,7834,201612,46314,7834,FRIENDS OF WOODBURN INC,DE,712120.0,A80
3318,136669.05000000002,131217.75,136669.05000000002,521046926,0,2017-990,0,291595,303709,201609,213744,303709,WASHINGTON PRESS CLUB FOUNDATION INC,DC,712120.0,A80
3530,0.0,0.0,141362.55000000002,561937133,1,2017-990,0,0,314139,201706,111812,23999,FIRST FLIGHT FOUNDATION,NC,712120.0,A80
3617,0.0,0.0,1409799.6,581807958,0,2017-990,39950,0,3132888,201606,24500,-67310,EXECUTIVE MANSION FUND INC,NC,712120.0,A82
3632,0.0,0.0,49621.5,582216137,4,2017-990,110270,0,110270,201612,147188,110270,INSTITUTE FOR NORTHWEST GEORGIA HISTORY LTD,GA,712110.0,A54
3745,0.0,0.0,38250.0,611314628,0,2017-990,85000,0,85000,201612,0,85000,HAMERON AUTOMOBILE & BOAT MUSEUM INC,TN,712110.0,A50
3795,14794.2,14036.85,14794.2,621692456,0,2017-990,1683,31193,32876,201612,20369,32876,ARKANSAS FALLEN FIREFIGHTERS MEMORIAL,AR,712120.0,A80
3817,18628.2,16678.350000000002,18628.2,630947714,0,2017-990,4000,37063,41396,201612,63515,41396,ALABAMA TRUST FOR HISTORIC PRESERVATION,AL,712120.0,A82
3831,0.0,0.0,6886.35,631149586,0,2017-990,15303,0,15303,201612,23124,15303,SOUTH BALDWIN MUSEUM FOUNDATON INC,AL,712110.0,A50
3942,15645.6,10060.65,15645.6,710518731,1,2017-990,12327,22357,34768,201612,54307,34768,BOONE COUNTY HISTORICAL & RAILROAD SOCIETY INC,AR,712110.0,A54
3990,0.0,0.0,6287.400000000001,721155668,0,2017-990,13972,0,13972,201612,8851,13972,LOUISIANA BLACK HISTORY HALL OF FAME,LA,712110.0,A50
4001,0.0,0.0,27931.95,721430320,1,2017-990,60664,0,62071,201609,65464,62071,FRIENDS OF MAGNOLIA MOUND PLANTATION INC,LA,712120.0,A82
4020,0.0,0.0,23208.75,731201026,0,2017-990,964,0,51575,201612,5695,47585,THE SKIATOOK MUSEUM,OK,712110.0,A50
4051,755.0,339.75,6789.150000000001,736104293,1,2017-990,11325,755,15087,201612,66256,14938,NO MANS LAND HISTORICAL SOCIETY,OK,712120.0,A82
4148,3230.0,1453.5,188568.9,746082236,0,2017-990,9667,3230,419042,201705,46693,1947,DAUGHTERS OF THE REPUBLIC OF TX INC,TX,712120.0,A80
4154,12409.65,7110.0,12409.65,750701195,0,2017-990,2200,15800,27577,201612,33919,27577,OAKLAND MEMORIAL PARK ASSOCIATION,TX,712120.0,A80
4177,0.0,0.0,2058.3,751729040,0,2017-990,4574,0,4574,201612,7604,4574,LANCASTER HISTORICAL SOCIETY INC,TX,712120.0,A82
4192,342374.0,154068.30000000002,479276.55,752335230,0,2017-990,191190,342374,1065059,201612,1272930,869791,C R SMITH MUSEUM FOUNDATION,TX,712110.0,A50
4233,0.0,0.0,3497.4,753107505,0,2017-990,4877,0,7772,201612,11215,4999,OLD TOWN AUBURN PRESERVATION SOCIETY,CA,712120.0,A82
4491,0.0,0.0,2621.25,812681969,0,2017-990,5825,0,5825,201612,5538,5825,HOBERGS HISTORICAL ASSOCIATION INC,CA,712120.0,A82
4602,0.0,0.0,16135.2,830317404,0,2017-990,5766,0,35856,201612,40228,34648,WIND RIVER HERITAGE CENTER,WY,712110.0,A54
4687,0.0,0.0,38166.3,860790385,0,2017-990,84814,0,84814,201612,5635,84814,CASTANEDA MUSEUM OF ETHNIC COSTUME INC,AZ,712110.0,A50
4761,0.0,0.0,10000000.0,900883474,5,2017-990,0,0,22276272,201612,914996,2387662,AMERICAN CRAFTSMAN MUSEUM INC,FL,712110.0,A50
4887,0.0,0.0,29001.15,931283147,0,2017-990,1462,0,64447,201706,31456,26160,LOWER COLUMBIA PRESERVATION SOCIETY,OR,712120.0,A82
4928,0.0,0.0,128065.5,942847227,0,2017-990,3100,0,284590,201706,134748,-59664,HAYS ANTIQUE TRUCK MUSEUM,CA,712110.0,A50
4943,0.0,0.0,57757.05,943091028,0,2017-990,123876,0,128349,201612,7030,128349,NORTHERN KITTITAS COUNTY HISTORICAL SOCIETY,WA,712120.0,A82
5106,0.0,0.0,774.45,10458774,0,2017-990ez,936,0,1721,201512,854,1721,TEMPLE HISTORICAL SOCIETY INC,ME,712120.0,A82
5126,0.0,0.0,16802.100000000002,10532105,0,2017-990ez,19756,0,37338,201612,31410,28020,WINSLOW FAMILY FOURTH OF JULY COMMITTEE,ME,712120.0,A84
5131,1307.0,588.15,8341.2,10543360,0,2017-990ez,3046,1307,18536,201610,5294,12177,MATTHEWS MUSEUM OF MAINE HERITAGE,ME,712110.0,A50
5228,0.0,0.0,236.25,16048312,0,2017-990ez,0,0,525,201612,445,525,MAINE SCIETY FOR HISTOTECHNOLOGY,ME,712120.0,A80
5273,0.0,0.0,61750.8,20626936,0,2017-990ez,30568,0,137224,201706,157754,113193,PTA TENNESSEE CONGRESS OF PARENT TEACHERS INC,TN,712110.0,A50
5298,0.0,0.0,666.0,20777972,0,2017-990ez,1400,0,1480,201512,0,1480,MCKEESPORT PRESERVATION SOCIETY,MD,712120.0,A82
5379,0.0,0.0,6100.2,42621751,0,2017-990ez,13467,0,13556,201512,14685,13556,NEW MARLBOROUGH HISTORICAL SOCIETY INC,MA,712120.0,A82
5381,0.0,0.0,1858.05,42642339,0,2017-990ez,2812,0,4129,201512,5538,3607,HOLBROOK HISTORICAL SOCIETY INC,MA,712120.0,A82
5384,0.0,0.0,29417.850000000002,42676767,0,2017-990ez,63705,0,65373,201609,72832,65373,VILLAGE IMPROVEMENT AND HISTORICAL SOCIETY OF ROYALSTON INC,MA,712120.0,A82
5385,0.0,0.0,85.5,42677212,0,2017-990ez,190,0,190,201612,190,190,HARVARD SQUARE DEFENSE FUND INC,MA,712120.0,A80
5406,116.10000000000001,54.0,116.10000000000001,43011889,0,2017-990ez,0,120,258,201612,441,258,EAST BRIDGEWATER HISTORICAL SOCIETY,MA,712120.0,A82
5438,0.0,0.0,13766.85,43266567,0,2017-990ez,26898,0,30593,201605,16779,30593,FRIENDS OF THE LONGFELLOW HOUSE WASHINGTONS HEADQUARTERS INC,MA,712120.0,A80
5445,0.0,0.0,4918.05,43294713,0,2017-990ez,5125,0,10929,201606,16758,10929,WORCESTER WOMENS HISTORY PROJECT INC,MA,712120.0,A84
5457,0.0,0.0,3481.65,43379402,0,2017-990ez,7737,0,7737,201612,4654,7737,28TH MASSACHUSETTS VOLUNTEER INFANTRY,MA,712120.0,A84
5568,0.0,0.0,31808.25,50476508,0,2017-990ez,37248,0,70685,201612,32222,45288,BEAVERTAIL LIGHTHOUSE MUSEUM ASSN,RI,712110.0,A50
5574,9421.2,4730.400000000001,9421.2,50501547,0,2017-990ez,10344,10512,20936,201612,21420,20936,TSE TSE GALLERY,RI,712110.0,A50
5619,0.0,0.0,236.25,61023001,0,2017-990ez,373,0,525,201705,2367,525,BANTAM HISTORICAL SOCIETY INC,CT,712120.0,A82
5686,7389.900000000001,4353.75,7389.900000000001,61597692,0,2017-990ez,6746,9675,16422,201612,21157,16422,BLUE SLOPE COUNTRY MUSEUM INC,CT,712110.0,A50
5692,0.0,0.0,3218.4,61652828,0,2017-990ez,7152,0,7152,201612,3633,7152,SOUTHPORT FLAG PROJECT,IN,712120.0,A84
5708,0.0,0.0,19918.8,61734634,0,2017-990ez,25940,0,44264,201612,17717,37784,STAPLES HISTORICAL SOCIETY,MN,712120.0,A82
5711,0.0,0.0,2702.7000000000003,61754218,0,2017-990ez,6006,0,6006,201612,4772,6006,OSWEGO TOWN HISTORICAL SOCIETY,NY,712120.0,A82
5716,0.0,0.0,14124.15,61784807,0,2017-990ez,0,0,31387,201705,28219,28923,NEW ENGLAND USSSA HALL OF FAME INC,MA,712110.0,A50
5748,0.0,0.0,13351.050000000001,66067831,0,2017-990ez,3410,0,29669,201612,54149,28862,MONROE HISTORICAL SOCIETY INCORPORATED,CT,712120.0,A82
5778,0.0,0.0,20808.45,112575889,0,2017-990ez,21671,0,46241,201612,40289,39941,LONG ISLAND LIVE STEAMERS INC,NY,712120.0,A82
5811,0.0,0.0,8799.300000000001,113099784,0,2017-990ez,19534,0,19554,201606,4004,19554,WOODHAVEN CULTURAL AND HISTORICAL SOCIETY,NY,712120.0,A82
5834,0.0,0.0,15.75,113333011,0,2017-990ez,0,0,35,201512,1913,35,GREEK MUSEUM,NY,712110.0,A50
5839,0.0,0.0,13584.6,113395358,0,2017-990ez,30188,0,30188,201612,21628,30188,ASSOCIATION OF HOLOCAUST SURVIVORS FROM THE FORMER SOVIET UNION INC,NY,712120.0,A80
5893,0.0,0.0,6993.45,113756321,0,2017-990ez,11939,0,15541,201612,4097,15541,ST PATRICKS CHAPEL HISTORICAL SOCIETY INC,MD,712120.0,A82
5897,0.0,0.0,108.0,113782264,0,2017-990ez,240,0,240,201612,240,240,HISTORICAL HOME OF ANGELA Y DAVIS INC,GA,712120.0,A82
5915,0.0,0.0,2865.15,113840257,0,2017-990ez,5494,0,6367,201612,29967,5658,LUCK AREA HISTORICAL SOCIETY,WI,712120.0,A82
5916,0.0,0.0,5589.0,116014418,0,2017-990ez,12000,0,12420,201512,0,12420,SIXTH MEMORIAL ASSOCIATION INC,NY,712120.0,A80
6012,2432.0,1094.4,17254.8,133874397,0,2017-990ez,415,2432,38344,201612,32471,38344,AMERICAN SOCIETY OF JEWELRY HISTORIANS,NY,712120.0,A80
6059,0.0,0.0,32116.95,134296577,0,2017-990ez,71371,0,71371,201612,71400,71371,STEREOTYPE EATING DISORDERS AWARENESS FOUNDATION,MI,712120.0,A82
6074,0.0,0.0,4342.5,136117924,0,2017-990ez,0,0,9650,201612,9525,9650,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,NY,712110.0,A50
6097,0.0,0.0,0.0,141561004,0,2017-990ez,0,0,0,201612,1667,0,ZADOCK PRATT MUSEUM INC,NY,712110.0,A54
6109,0.0,0.0,3057.3,141744698,0,2017-990ez,0,0,6794,201612,6922,4244,THE 125TH NEW YORK REGIMENTAL ASSOCIATION,NY,712120.0,A80
6122,0.0,0.0,2510.1,141796393,0,2017-990ez,1932,0,5578,201612,5286,4049,TOWN OF LLOYD HISTORICAL PRESERVATION SOCIETY,NY,712120.0,A82
6130,4415.0,1986.75,8568.9,141816339,0,2017-990ez,6885,4415,19042,201612,32846,15840,BATTLE OF PLATTSBURGH ASSOCIATION,NY,712110.0,A54
6131,0.0,0.0,54288.450000000004,141822687,0,2017-990ez,0,0,120641,201612,12705,120641,ANCRAM PRESERVATION GROUP INC,NY,712120.0,A80
6197,0.0,0.0,15737.85,160926728,0,2017-990ez,26730,0,34973,201512,38433,33835,BIG SPRINGS HISTORICAL SOCIETY OF CALEDONIA,NY,712120.0,A82
6204,0.0,0.0,0.0,161146016,0,2017-990ez,0,0,0,201512,0,0,NIAGARA FRONTIER VINTAGE AIRCRAFT GROUP INC,NY,712110.0,A50
6311,0.0,0.0,12254.85,161765591,0,2017-990ez,27232,0,27233,201612,11561,27233,SUFFOLK RIVER HERITAGE INC,VA,712120.0,A82
6317,0.0,0.0,2198.7000000000003,166050969,0,2017-990ez,40,0,4886,201612,1582,1861,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,NY,712120.0,A80
6319,41507.55,34875.450000000004,41507.55,166058356,0,2017-990ez,630,77501,92239,201612,105954,92239,CENTRAL NEW YORK GENEALOGICAL SOCIETY,NY,712120.0,A80
6342,0.0,0.0,0.0,200128885,0,2017-990ez,0,0,0,201612,0,0,MONUMENT OF THE IMMORTALS,CA,712110.0,A54
6349,0.0,0.0,3180.15,200149820,0,2017-990ez,7067,0,7067,201612,6567,7067,THE ACTORS HALL OF FAME FOUNDATION,CA,712110.0,A50
6361,0.0,0.0,31.5,200242392,0,2017-990ez,70,0,70,201512,135,70,BUTTS COUNTY GENEALOGICAL SOCIETY,GA,712120.0,A80
6423,0.0,0.0,0.0,200749769,0,2017-990ez,0,0,0,201612,11802,0,WILLIAM F EISNER MUSEUM OF ADVERTISING & DESIGN INC,WI,712110.0,A50
6434,0.0,0.0,0.0,200847318,0,2017-990ez,0,0,0,201612,1087,0,SANDMINERS MONUMENT INC,NY,712120.0,A80
6473,0.0,0.0,4149.0,201146960,0,2017-990ez,9220,0,9220,201706,5600,9220,AMESBURY CARRIAGE ALLIANCE INC,MA,712110.0,A54
6559,0.0,0.0,3049.2000000000003,201715171,0,2017-990ez,3400,0,6776,201612,4352,6776,HOWARD SCHOOL RESTORATION GROUP INC,IN,712110.0,A54
6724,0.0,0.0,16001.1,203064045,0,2017-990ez,13552,0,35558,201612,3594,19424,OVIEDO PRESERVATION PROJECT INC,FL,712120.0,A80
6746,10018.800000000001,5220.0,10018.800000000001,203164040,0,2017-990ez,10664,11600,22264,201612,14633,22264,EDUCATIONAL FOUNDATION & MUSEUM OF BEULAH RUCKER INC,GA,712110.0,A50
6748,0.0,0.0,0.0,203168556,0,2017-990ez,0,0,0,201612,0,0,LAKE COUNTY HERITAGE FARM FOUNDATION,IL,712120.0,A82
6757,3114.9,3114.9,3114.9,203233585,0,2017-990ez,0,6922,6922,201706,334,6922,FIGLER FAMILY FOUNDATION,CA,712110.0,A50
6786,0.0,0.0,15111.9,203435648,0,2017-990ez,33537,0,33582,201606,6731,33582,MENIFEE VALLEY HISTORICAL ASSOCIATION,CA,712120.0,A82
6813,10800.9,5118.75,10800.9,203608339,0,2017-990ez,9624,11375,24002,201312,30180,24002,MARLBORO VOLUNTEERS INC,OH,712120.0,A84
6825,0.0,0.0,198.9,203682000,0,2017-990ez,0,0,442,201512,495,442,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,TN,712120.0,A80
6885,0.0,0.0,86.4,204202242,0,2017-990ez,0,0,192,201612,1564,192,ANACONDA RAILROAD AND MINING MUSEUMINC,MT,712110.0,A50
7053,0.0,0.0,13954.050000000001,205421890,0,2017-990ez,31009,0,31009,201612,13954,31009,ALABAMA AVIATION HALL OF FAME FOUNDATION,AL,712110.0,A50
7086,7518.0,3383.1,36951.3,205682758,0,2017-990ez,74588,7518,82114,201612,64478,82114,HOUSTON HISTORY ASSOCIATION,TX,712120.0,A80
7087,0.0,0.0,405.0,205686991,0,2017-990ez,60,0,900,201512,0,285,SONS OF THE REVOLUTION IN THE STATEOF INDIANA INCORPORATED,IN,712120.0,A80
7180,0.0,0.0,0.0,208293286,0,2017-990ez,0,0,0,201512,0,0,SAM SIRIANNI MEMORIAL INC,FL,712120.0,A80
7213,0.0,0.0,3781.8,208492868,0,2017-990ez,8404,0,8404,201612,3586,8404,GARLAND HOTEL,IA,712120.0,A80
7229,0.0,0.0,12060.0,208615264,0,2017-990ez,2000,0,26800,201612,16675,26800,SERRA CROSS CONSERVANCY,CA,712120.0,A80
7242,0.0,0.0,115.2,208758193,0,2017-990ez,0,0,256,201612,2483,256,RYU HERITAGE FOUNDATION NFP,IL,712120.0,A82
7278,158.0,71.10000000000001,3513.15,210683961,0,2017-990ez,7649,158,7807,201612,2229,7807,BURLINGTON COUNTY LYCEUM OF HISTORY & NATURAL SCIENCES,NJ,712120.0,A80
7314,0.0,0.0,34708.05,222368466,0,2017-990ez,77129,0,77129,201612,57204,77129,GARDEN STATE PUJA COMMITTEE,NJ,712130.0,C41
7353,0.0,0.0,17.1,222579038,0,2017-990ez,0,0,38,201612,16459,38,THE AGRICULTURAL MUSEUM OF THE STATE OF NEW JERSEY,NJ,712110.0,A57
7356,4836.0,2176.2000000000003,75790.8,222599559,0,2017-990ez,88885,4836,168424,201612,152022,161158,HISTORIC RITTENHOUSETOWN INC,PA,712120.0,A80
7389,0.0,0.0,6312.6,222905284,0,2017-990ez,380,0,14028,201612,13486,13209,ABSECON HISTORICAL SOCIETY INC,NJ,712120.0,A82
7412,0.0,0.0,4898.7,223049979,0,2017-990ez,158,0,10886,201512,7508,10886,BOLTON HISTORICAL SOCIETY,MA,712120.0,A82
7430,0.0,0.0,12023.1,223133450,0,2017-990ez,1174,0,26718,201605,1779,26718,HEBRON PRESERVATION SOCIETY,NY,712120.0,A82
7518,0.0,0.0,0.0,223787777,0,2017-990ez,0,0,0,201612,0,0,AFRICA HERITAGE FOUNDATION,GA,712120.0,A82
7539,763.2,763.2,763.2,223886241,0,2017-990ez,0,1696,1696,201612,3671,1696,PERFORMANCE GALLERY,OH,712110.0,A50
7643,0.0,0.0,1152.45,232669489,0,2017-990ez,2561,0,2561,201512,950,2561,SHARON HILL HISTORICAL SOCIETY,PA,712120.0,A82
7657,0.0,0.0,0.0,232794999,0,2017-990ez,0,0,0,201612,0,0,STEAMTOWN NATIONAL PARTNERSHIP,PA,712120.0,A80
7662,0.0,0.0,699.3000000000001,232869100,0,2017-990ez,0,0,1554,201512,10842,1554,LACKAWANNA CHAPTER OF THE RAILWAY & LOCOMOTIVE HISTORICAL SOCIETYY,NJ,712120.0,A82
7714,0.0,0.0,885.15,236462229,0,2017-990ez,1967,0,1967,201612,1981,1967,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,PA,712120.0,A80
7718,0.0,0.0,26550.45,237004374,0,2017-990ez,51142,0,59001,201608,30480,58901,GIBSON ISLAND HISTORICAL SOCIETY INC,MD,712120.0,A82
7824,0.0,0.0,7909.650000000001,237105428,0,2017-990ez,0,0,17577,201612,4056,17577,THOMASTON HISTORICAL SOCIETY INC,CT,712120.0,A82
7934,1435.0,645.75,16947.0,237167794,0,2017-990ez,6010,1435,37660,201704,27235,31580,LINKS INC,GA,712120.0,A80
7992,1646.0,740.7,2413.35,237215310,0,2017-990ez,112,1646,5363,201609,6365,5363,DOUGLAS HISTORICAL SOCIETY INC,MA,712120.0,A82
8000,285.0,128.25,19430.100000000002,237225013,0,2017-990ez,16932,285,43178,201612,32516,27094,HISTORIC HAGERSTOWN INC,IN,712110.0,A54
8020,0.0,0.0,7504.2,237251059,0,2017-990ez,5855,0,16676,201612,34231,11958,WILLIAMS COUNTY HISTORICAL SOCIETY,OH,712120.0,A82
8083,0.0,0.0,55415.25,237346729,0,2017-990ez,122063,0,123145,201606,13104,123145,AVON HISTORICAL SOCIETY INC,CT,712120.0,A82
8084,4500.0,2025.0,5224.5,237346730,0,2017-990ez,1952,4500,11610,201604,11119,9644,ASPINOCK HISTORICAL SOCIETY OF PUTNAM,CT,712120.0,A82
8085,0.0,0.0,10756.35,237350846,0,2017-990ez,2528,0,23903,201707,27866,23903,SONS AND DAUGHTERS OF THE FIRST SETTLERS OF NEWBURY MASS INC,MA,712120.0,A80
8103,0.0,0.0,32.85,237366882,0,2017-990ez,0,0,73,201612,0,73,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,TX,712120.0,A80
8111,0.0,0.0,27013.5,237374414,0,2017-990ez,24364,0,60030,201612,33607,52977,TUSTIN AREA HISTORICAL SOCIETY,CA,712120.0,A82
8115,6220.0,2799.0,62634.6,237375944,0,2017-990ez,102671,6220,139188,201612,38368,136210,HAMILTON COUNTY CHAPTER OF THE OHIO GENEALOGICAL SOCIETY,OH,712120.0,A80
