,EIN,tax_pd,contributed_rev,earned_program_service_rev,total_rev,total_exp,gross_rev,Source,45_of_Gross_max_12m,45_of_Earned_max_12m,100_of_Earned_upto_45_Gross_max_12m,NAME,STATE,NAICS,NTEEFINAL
1053,251234617,201609,0,1700,1700,115911,1700,2017-990,765.0,765.0,12000000,AMERICAN WIND SYMPHONY ORCHESTRA,PA,711130.0,A69
1163,261560071,201608,28764,96232,125534,177890,125534,2017-990,56490.3,43304.4,12000000,FABREFACTION THEATRE COMPANY INC,GA,711110.0,A65
1176,262097692,201612,268958,0,268958,253982,268958,2017-990,121031.1,0.0,0,SOUL TREE COLLECTIVE INC,TX,711130.0,A68
1216,262701068,201612,44362,89330,133692,124535,133692,2017-990,60161.4,40198.5,12000000,DREAMALITY INC,NJ,711120.0,A62
1249,263427068,201608,163521,38388,204824,201719,204824,2017-990,92170.8,17274.600000000002,38388,T-BONE WALKER BLUES FEST INC,TX,711130.0,A68
1330,270099311,201612,114807,1871,116678,116678,116678,2017-990,52505.1,841.95,1871,BODY RHYTHM DANCE THEATRE,MI,711120.0,A62
1512,273308214,201709,95715,670,102426,50495,104156,2017-990,46870.200000000004,301.5,670,HURON PLAYHOUSE,OH,711100.0,A61
1563,274457450,201612,39793,32105,71898,59245,71898,2017-990,32354.100000000002,14447.25,32105,SARAH MICHELSON INC,NY,711120.0,A62
1585,274754146,201612,95700,613838,756370,901783,794137,2017-990,357361.65,276227.10000000003,12000000,THORN PRODUCTIONS,CO,711110.0,A65
1590,275035675,201612,0,0,0,70,0,2017-990,0.0,0.0,0,OPERA BRAVURA ENTERTAINMENT INC,CA,711130.0,A6A
1615,300189270,201612,84498,246358,335052,328534,335052,2017-990,150773.4,110861.1,12000000,CONTACT ARTS,CA,711120.0,A62
1699,311492869,201512,0,0,0,0,0,2017-990,0.0,0.0,0,OHIO VALLEY SCOTTISH SOCIETY INC,OH,711120.0,A62
1799,330893362,201612,0,160391,160391,155732,160391,2017-990,72175.95,72175.95,12000000,SAN DIEGO MUSIC FOUNDATION,CA,711130.0,A68
1880,346556556,201612,0,0,0,0,0,2017-990,0.0,0.0,0,SQUARE BUILDING COMPANY,OH,711100.0,A60
1905,351526287,201612,4922,0,46041,39476,653298,2017-990,293984.10000000003,0.0,0,DEKALB CENTRAL MUSIC ASSOCIATION INC,IN,711130.0,A68
1975,362962448,201606,119665,244752,378350,509839,378350,2017-990,170257.5,110138.40000000001,12000000,LIRA ENSEMBLE INC,IL,711130.0,A6B
2049,367413361,201612,27950,35572,63522,57206,63522,2017-990,28584.9,16007.4,12000000,OJAI PERFORMING ARTS THEATER FOUNDATION,CA,711100.0,A60
2259,392071850,201705,274648,0,275031,300101,275031,2017-990,123763.95,0.0,0,LEHRERDANCE INC,NY,711120.0,A62
2282,411346137,201604,10299,0,-3371,15739,282802,2017-990,127260.90000000001,0.0,0,JOHNSON AREA HOCKEY ASSOCIATION,MN,711130.0,A68
2311,412043064,201612,18387,0,18676,13543,18676,2017-990,8404.2,0.0,0,ALL JOIN HANDS FOUNDATION LTD,AZ,711120.0,A62
2393,431691563,201703,3956,17728,32311,51127,32311,2017-990,14539.95,7977.6,12000000,KIRKWOOD CHILDRENS CHORALE INC,MO,711130.0,A6B
2483,453015297,201707,6625,192588,199213,212893,199213,2017-990,89645.85,86664.6,12000000,PHOENIX DANCE COOPERATIVE INC,AZ,711120.0,A62
2517,453787563,201612,19556,0,19556,18537,19556,2017-990,8800.2,0.0,0,ANNEX DANCE COMPANY,SC,711120.0,A62
2544,454255940,201612,48632,48358,112823,115843,115855,2017-990,52134.75,21761.100000000002,48358,POST5 THEATRE,OR,711110.0,A65
2598,455332180,201612,0,0,0,0,0,2017-990,0.0,0.0,0,AMERICA AFRO DANCE,FL,711120.0,A62
2616,455556075,201612,0,0,0,344,0,2017-990,0.0,0.0,0,SHAKE THE GROUND INC,FL,711120.0,A62
2635,460584314,201612,17034,15625,33084,38823,33084,2017-990,14887.800000000001,7031.25,12000000,ANIMALPALOOZA ANIMAL BENEFIT & MUSIC FESTIVAL,IN,711130.0,A68
2657,460867729,201612,285389,0,285389,231300,285389,2017-990,128425.05,0.0,0,RED CAT JAZZ PRESERVATION SOCIETY INC,TX,711130.0,A6C
2794,463150092,201612,134203,214705,348928,221175,348928,2017-990,157017.6,96617.25,12000000,LITTLE TURTLES PLAYHOUSE INC,WI,711100.0,A61
2869,464379583,201312,2009,0,2009,688,2009,2017-990,904.0500000000001,0.0,0,CONCERT OF HOPE COMMUNITY OUTREACH,CA,711130.0,A68
2874,464454508,201612,449588,0,449588,644704,449588,2017-990,202314.6,0.0,0,COLOUR OF MUSIC INC,SC,711130.0,A68
2877,464494473,201512,0,0,0,0,0,2017-990,0.0,0.0,0,WOMEN IN MUSIC AYO CORP,FL,711130.0,A68
2922,465408339,201605,35374,0,35378,26145,35378,2017-990,15920.1,0.0,0,WIREGRASS BLUES SOCIETY,AL,711130.0,A68
2986,471206005,201612,15000,0,15000,0,15000,2017-990,6750.0,0.0,0,INNOVATION MUSIC AND PERFORMING ARTS CONSERVATORY INC,NJ,711100.0,A60
3090,472972162,201612,0,59430,59540,22690,59540,2017-990,26793.0,26743.5,12000000,PALM SPRINGS SWING & MIX 2017,CA,711120.0,A62
3170,474328369,201512,0,0,0,0,0,2017-990,0.0,0.0,0,TEXAS MUSIC EXPERIENCE,TX,711130.0,A68
3217,475228790,201612,5075,0,5075,5108,5075,2017-990,2283.75,0.0,0,LONE STAR COUNTRY DANCE SCHOLARSHIP FUND,TX,711120.0,A62
3269,510169632,201609,26470,0,26470,27630,26470,2017-990,11911.5,0.0,0,MIDSUMMER MOZART,CA,711130.0,A69
3429,541256173,201606,0,11286,11309,6741,11309,2017-990,5089.05,5078.7,12000000,CRATER DEVELOPMENT COMPANY,VA,711100.0,A60
3517,561437061,201606,52584,75712,128298,196451,128298,2017-990,57734.1,34070.4,12000000,LINCOLN CULTURAL DEVELOPMENT CENTER INC,NC,711100.0,A60
3549,562372844,201606,127655,250314,385319,400730,385319,2017-990,173393.55000000002,112641.3,12000000,TEXAS REPERTORY THEATRE COMPANY INC,TX,711110.0,A65
3678,592292246,201706,129660,899948,1059631,1082866,1059631,2017-990,476833.95,404976.60000000003,12000000,ARTS POWER INC,NJ,711100.0,A60
3686,592720565,201612,420,0,1472,530,1472,2017-990,662.4,0.0,0,CITRUS COUNTY CHAPTER OF THE SOCIETY FOR THE PRESERVATION,FL,711130.0,A6B
3786,621425459,201612,12000,0,12000,6811,12000,2017-990,5400.0,0.0,0,PADUCAH CHAMBER MUSIC SOCIETY INC,KY,711130.0,A6C
3877,650980096,201612,12015,0,162921,163651,352991,2017-990,158845.95,0.0,0,AIMM HIGHER INC,FL,711100.0,A60
3883,651149943,201704,0,144329,144329,166179,144329,2017-990,64948.05,64948.05,12000000,MCINTYRE INSTITUTE INC,FL,711120.0,A62
3919,680350202,201606,14025,14744,28769,26657,28769,2017-990,12946.050000000001,6634.8,12000000,WOODLAND CHAMBER SINGERS,CA,711130.0,A6B
3930,680560431,201706,76671,0,76671,123775,76671,2017-990,34501.950000000004,0.0,0,SECOND CHANCE GOSPEL MUSIC CONVENTION INC,NJ,711130.0,A6B
3995,721317229,201606,128021,140369,281584,360213,281584,2017-990,126712.8,63166.05,12000000,GREATER NEW ORLEANS YOUTH ORCHESTRA,LA,711130.0,A69
4080,742119204,201612,43500,47755,91255,93550,91255,2017-990,41064.75,21489.75,12000000,NUMBER 1 PLAYS & PLAYERS,TX,711110.0,A65
4169,751461008,201606,56671,58134,114901,66433,114901,2017-990,51705.450000000004,26160.3,12000000,LAMPLITE PLAYERS,TX,711110.0,A65
4784,910695565,201706,405852,502993,1093850,1154848,1117240,2017-990,502758.0,226346.85,12000000,SPOKANE CIVIC THEATRE INC,WA,711110.0,A65
4788,910987047,201706,2126,410585,416658,396161,416658,2017-990,187496.1,184763.25,12000000,CASCADE YOUTH SYMPHONY,WA,711130.0,A69
4935,943020085,201406,0,0,0,0,0,2017-990,0.0,0.0,0,NUBA DANCE THEATRE,NC,711120.0,A62
4956,943215211,201612,49292,0,50275,13951,52404,2017-990,23581.8,0.0,0,THE COMPLINE CHOIR,WA,711130.0,A6B
5000,952975080,201512,66737,0,67221,14505,67221,2017-990,30249.45,0.0,0,IMPERIAL VALLEY SYMPHONY ASSOCIATION,CA,711130.0,A69
5036,954333906,201612,9044,92536,101580,129194,101580,2017-990,45711.0,41641.200000000004,12000000,MALIBU STAGE COMPANY,CA,711110.0,A65
5135,10554421,201512,20549,0,20549,16218,20549,2017-990ez,9247.050000000001,0.0,0,STRIKE PERCUSSION ENSEMBLE,MI,711130.0,A6C
5229,20270736,201612,7943,16482,31972,37671,31972,2017-990ez,14387.4,7416.900000000001,12000000,SACRED DANCE GUILD,MD,711120.0,A62
5231,20349073,201706,0,28149,33474,35847,33474,2017-990ez,15063.300000000001,12667.050000000001,12000000,GRANITE STATE CHAPTER AMERICAN PROD AND INVENTORY CONTROL SOCIETY,NH,711100.0,A60
5250,20486894,201609,25610,0,30437,33754,31669,2017-990ez,14251.050000000001,0.0,0,HALF MOON SOBER FESTIVAL INCORPORATED,NH,711100.0,A60
5335,30414966,201612,7280,4300,11580,9134,11580,2017-990ez,5211.0,1935.0,4300,SAMAVESHA,CA,711130.0,A68
5383,42673528,201608,373,425,858,277,858,2017-990ez,386.1,191.25,12000000,REVONTULET INC,MA,711100.0,A60
5401,42874912,201706,13193,8119,23812,23940,23812,2017-990ez,10715.4,3653.55,8119,ASHMONT HILL CHAMBER MUSIC INC,MA,711130.0,A6C
5413,43060347,201609,36835,0,36835,35988,36835,2017-990ez,16575.75,0.0,0,PILGRIM THEATRE RESEARCH AND PERFORMANCE COLLABORATIVE INC,MA,711110.0,A65
5417,43112318,201609,4300,0,390,8049,12302,2017-990ez,5535.900000000001,0.0,0,BOSTON THEATER CRITICS ASSOCIATION INC,MA,711110.0,A65
5434,43248552,201512,1700,30633,84554,84238,85881,2017-990ez,38646.450000000004,13784.85,30633,MILFORD PERFORMING ARTS CTR INC,MA,711100.0,A61
5464,43401960,201607,0,0,13580,12467,17567,2017-990ez,7905.150000000001,0.0,0,DANCE EXPRESSIONS SCHOLARSHIP FUND INC,MA,711120.0,A62
5481,43505960,201706,15841,26854,42694,52609,42694,2017-990ez,19212.3,12084.300000000001,12000000,WALDEN CHAMBER PLAYERS INC,MA,711130.0,A6C
5503,43622083,201606,0,0,0,0,0,2017-990ez,0.0,0.0,0,WITS END PLAYERS INC,NY,711110.0,A65
5507,43661160,201612,12170,0,1414,0,12178,2017-990ez,5480.1,0.0,0,THE EXOTICS BAND FOUNDATION,SC,711130.0,A6C
5544,46074499,201612,5036,8650,13717,10810,13717,2017-990ez,6172.650000000001,3892.5,12000000,CHATHAM BAND INC,MA,711130.0,A6C
5551,46139578,201612,28906,99581,192502,208017,192502,2017-990ez,86625.90000000001,44811.450000000004,12000000,SOCIETY FOR PRESERVATION & ANCRGMNT OF BARBERSHOP QUARTET SINGING AMER,NH,711130.0,A6B
5584,50538978,201512,2736,9967,14094,12460,14112,2017-990ez,6350.400000000001,4485.150000000001,12000000,LEX-HAM COMMUNITY ARTS,MN,711100.0,A60
5586,50544595,201606,27815,5393,33208,26700,33208,2017-990ez,14943.6,2426.85,5393,SERAPHIM SINGERS INC,MA,711130.0,A6B
5589,50554866,201608,0,5328,7489,14966,7489,2017-990ez,3370.05,2397.6,12000000,DRUMCLIFFE PARENTS ORGANIZATION INC,NY,711120.0,A62
5597,50581428,201606,325,0,9034,8757,18300,2017-990ez,8235.0,0.0,0,MCKAMY ORCHESTRA BOOSTER,TX,711130.0,A69
5613,60966305,201612,1500,18600,21513,26174,21513,2017-990ez,9680.85,8370.0,12000000,CLOCKWORK PRODUCTIONS INC,CT,711110.0,A65
5635,61290527,201406,86494,20840,107646,126200,107646,2017-990ez,48440.700000000004,9378.0,20840,CONNECTICUT DANCE THEATRE INC,CT,711120.0,A62
5638,61306655,201608,6064,0,6064,1418,6064,2017-990ez,2728.8,0.0,0,NEW HAVEN ORATORIO CHOIR INC,CT,711130.0,A6B
5695,61657655,201612,200,1170,1370,3011,1370,2017-990ez,616.5,526.5,12000000,EGOART INC,MA,711100.0,A60
5697,61665379,201612,20226,0,36178,39345,40496,2017-990ez,18223.2,0.0,0,SHADES OF PRAISE THE NEW ORLEANS INTERRACIAL GOSPEL CHOIR INC,LA,711130.0,A6B
5764,110615740,201612,56373,0,56373,43114,56373,2017-990ez,25367.850000000002,0.0,0,SOUL TIGERS MARCHING BAND INC,NY,711130.0,A6C
5853,113496360,201512,0,0,0,0,0,2017-990ez,0.0,0.0,0,FOCUS HAITIAN MUSIC INC,NY,711130.0,A68
5894,113757378,201606,10070,6127,18322,23299,18322,2017-990ez,8244.9,2757.15,6127,HUMAN FUTURE DANCE CORPS INC,NY,711120.0,A62
5907,113814256,201706,23083,0,25212,27716,25558,2017-990ez,11501.1,0.0,0,TURPIN ORCHESTRA BOOSTERS ASSOCIATION INC T O B A,OH,711130.0,A69
5923,116044328,201612,1819,1113,2932,5899,2932,2017-990ez,1319.4,500.85,1113,WALDORF CHORAL SOCIETY,NY,711130.0,A6B
5933,116111498,201612,0,0,57,0,57,2017-990ez,25.650000000000002,0.0,0,BROOKLYN CHAPTER SWEET ADELINES INTERNATIONAL,NY,711130.0,A6B
5941,132744083,201612,650,0,66802,46621,66802,2017-990ez,30060.9,0.0,0,FANFARE THEATRE ENSEMBLE INC,NY,711110.0,A65
5948,132961164,201606,0,0,0,5193,0,2017-990ez,0.0,0.0,0,MOZARTEAN PLAYERS INC,NY,711110.0,A65
5953,133020002,201703,0,0,39578,32825,39578,2017-990ez,17810.100000000002,0.0,0,DANCE THEATRE IN WESTCHESTER INC,NY,711120.0,A62
5954,133022873,201702,0,65838,65838,61366,65838,2017-990ez,29627.100000000002,29627.100000000002,12000000,HUDSON VAGABOND PUPPETS INCORPORATE,NY,711110.0,A65
5955,133040912,201606,37661,97208,134873,122257,134873,2017-990ez,60692.85,43743.6,12000000,CAPOEIRA FOUNDATION INC,NY,711120.0,A62
5960,133127239,201612,13356,11045,24401,25719,24401,2017-990ez,10980.45,4970.25,12000000,PERFORMERS OF WESTCHESTER INC,NJ,711130.0,A68
5963,133201190,201612,1500,0,1500,1500,1500,2017-990ez,675.0,0.0,0,RENAISSANCE CHINESE OPERA SOCIETY,NY,711130.0,A6A
5970,133335670,201609,10100,36517,46617,96599,46617,2017-990ez,20977.65,16432.65,12000000,CROSS PERFORMANCE INC,NY,711100.0,A60
5978,133512706,201612,0,16302,16302,16360,16302,2017-990ez,7335.900000000001,7335.900000000001,12000000,GOTHAM CITY IMPROV INC,NY,711110.0,A65
5980,133529676,201706,1500,0,3756,8879,3756,2017-990ez,1690.2,0.0,0,THIS MUSICS FOR YOU INC,NY,711130.0,A68
6022,134019063,201606,0,0,0,0,0,2017-990ez,0.0,0.0,0,PANO PRA MANGA ARTS INC,NY,711120.0,A62
6034,134129688,201612,1243,0,1243,3522,1243,2017-990ez,559.35,0.0,0,IN PARENTHESES INC,NY,711100.0,A60
6045,134191733,201612,0,0,0,0,0,2017-990ez,0.0,0.0,0,HANDCART ENSEMBLE INC,PA,711130.0,A6C
6063,134310505,201612,56147,28327,84474,80135,84474,2017-990ez,38013.3,12747.15,28327,DANCING PEOPLE COMPANY,OR,711120.0,A62
6081,136162746,201612,53701,0,53701,26013,53701,2017-990ez,24165.45,0.0,0,CENTRE SYMPHONY SOCIETY INC,NY,711130.0,A69
6128,141813145,201612,1945,0,1945,2700,1945,2017-990ez,875.25,0.0,0,YOUNG MUSICIANS FORUM INC,NY,711130.0,A68
6133,141825219,201512,3064,0,3064,4615,3064,2017-990ez,1378.8,0.0,0,SCHOHARIE CREEK PLAYERS INC,NY,711110.0,A65
6205,161157978,201612,17167,36707,56316,54919,56316,2017-990ez,25342.2,16518.15,12000000,ONTARIO CENTER FOR PERFORMING ARTS INC,NY,711100.0,A61
6210,161217525,201612,0,0,0,4938,0,2017-990ez,0.0,0.0,0,GIRLS DRUM AND BUGLE CORPS OF OWEGO NY INC,NY,711130.0,A6C
6236,161438300,201612,0,1500,1563,1500,1563,2017-990ez,703.35,675.0,12000000,ORAN MOR PIPE BAND INC,NY,711130.0,A6C
6272,161576128,201609,14131,4700,42866,44970,42866,2017-990ez,19289.7,2115.0,4700,SIGNATURE BAND & CHOIR CAMP INC,NY,711130.0,A6B
6278,161602003,201612,3280,992,-122276,5947,14272,2017-990ez,6422.400000000001,446.40000000000003,992,UPSTATE PERFORMING ARTS COMPANY INC,NY,711100.0,A60
6326,200010809,201612,103021,2765,105786,106072,105786,2017-990ez,47603.700000000004,1244.25,2765,KALEIDOSCOPE DANCE THEATRE INC,NY,711120.0,A62
6392,200482372,201608,122217,0,122217,82357,122217,2017-990ez,54997.65,0.0,0,VIBE THEATER EXPERIENCE,NY,711110.0,A65
6398,200526942,201706,3044,38755,42884,55720,42884,2017-990ez,19297.8,17439.75,12000000,EAST CHICAGO CARNEGIE PERFORMING ARTS CENTER INC,IN,711100.0,A61
6457,201030873,201612,4934,15374,20308,30890,20308,2017-990ez,9138.6,6918.3,12000000,FACTION OF FOOLS THEATRE COMPANY INC,DC,711110.0,A65
6597,202013274,201612,132449,10976,143425,170379,143425,2017-990ez,64541.25,4939.2,10976,ORACLE PRODUCTIONS AN ILLINOIS NONPROFIT CORPORATION,IL,711110.0,A65
6617,202150103,201612,0,2717,2717,10207,2717,2017-990ez,1222.65,1222.65,12000000,KINGSMEN STARCORPS,CA,711100.0,A60
6651,202463725,201612,26900,0,32922,32467,32922,2017-990ez,14814.9,0.0,0,SLAVENSKA DANCE PRESERVATION INC,CA,711120.0,A62
6714,202982601,201607,6770,3693,14620,11803,14620,2017-990ez,6579.0,1661.8500000000001,3693,ANNAS BAY MUSIC FESTIVAL,WA,711130.0,A68
6719,203030760,201612,19257,101859,121116,115750,121116,2017-990ez,54502.200000000004,45836.55,12000000,LIL BUDS THEATRE COMPANY,IL,711110.0,A65
6729,203087563,201612,0,0,348,4835,348,2017-990ez,156.6,0.0,0,PROJECT PLAY,CA,711110.0,A65
6775,203381973,201612,52552,0,52552,50503,52552,2017-990ez,23648.4,0.0,0,PUENTE HILLS CONCERTS IN THE PARK,CA,711130.0,A68
6840,203837950,201612,62409,0,62409,59722,62409,2017-990ez,28084.05,0.0,0,UBIQUITOUS MUSIC INC,CA,711130.0,A68
6842,203883220,201612,0,29840,29840,28000,29840,2017-990ez,13428.0,13428.0,12000000,DANCE LEGACY BOOSTER INC,IN,711120.0,A62
6856,203990237,201607,0,0,0,0,0,2017-990ez,0.0,0.0,0,AMERICAN REPERTORY ENSEMBLE,KS,711130.0,A6C
6864,204039820,201612,5000,0,5000,5000,5000,2017-990ez,2250.0,0.0,0,STRINGS FOR KIDS INC,ID,711130.0,A68
6903,204433278,201707,3132,9049,20971,18119,20971,2017-990ez,9436.95,4072.05,9049,THE HALALISA SINGERS INC,MA,711130.0,A6B
6910,204503909,201612,4227,1980,6207,7191,6207,2017-990ez,2793.15,891.0,1980,SOUTHERN ILLINOIS YOUNG ARTISTORGANIZATION NFP,IL,711100.0,A60
6925,204626281,201612,42990,60009,135773,130770,136260,2017-990ez,61317.0,27004.05,60009,BAYOU CITY CONCERT MUSICALS,TX,711110.0,A65
6938,204735521,201612,0,2000,2000,3401,2000,2017-990ez,900.0,900.0,12000000,DETROIT TECHNO FOUNDATION,MI,711130.0,A68
6965,204928546,201612,16264,16439,32703,40282,32703,2017-990ez,14716.35,7397.55,12000000,SOUND CIRCLE EURYTHMY,CO,711120.0,A62
7004,205096250,201606,8209,6598,28009,40258,28510,2017-990ez,12829.5,2969.1,6598,BELLA VOCE INC,NY,711130.0,A6B
7038,205337887,201612,1500,0,1500,0,1500,2017-990ez,675.0,0.0,0,NATIONAL BALLET OF DENVER,CO,711120.0,A63
7123,205905547,201612,20930,0,20930,19610,20930,2017-990ez,9418.5,0.0,0,SHOWDOWN STAGE CORPORATION,CA,711110.0,A65
7176,208280788,201606,9274,0,9470,9470,9939,2017-990ez,4472.55,0.0,0,RED FERN THEATRE COMPANY INC,NY,711110.0,A65
7196,208379570,201607,7155,4985,12139,11438,12139,2017-990ez,5462.55,2243.25,4985,WASHINGTON SINFONIETTA,VA,711130.0,A69
7241,208755227,201612,13955,0,13955,3916,13955,2017-990ez,6279.75,0.0,0,5RHYTHMS REACH OUT INC,UT,711100.0,A60
7271,208972128,201704,7322,2159,9481,8061,9481,2017-990ez,4266.45,971.5500000000001,2159,VOX 3 COLLECTIVE INC NFP,IL,711130.0,A6B
7309,222270536,201706,31430,5360,36994,36994,36994,2017-990ez,16647.3,2412.0,5360,CONCERTED EFFORT INC,NY,711130.0,A68
7348,222549628,201606,15123,3695,32435,33434,32529,2017-990ez,14638.050000000001,1662.75,3695,THE BINGHAMTON YOUTH SYMPHONY INC,NY,711130.0,A69
7350,222558454,201612,17500,9257,26757,24013,26757,2017-990ez,12040.65,4165.650000000001,9257,EAST STREET DANCE CENTER INC,MA,711120.0,A62
7383,222837683,201606,49594,7224,56858,32621,56858,2017-990ez,25586.100000000002,3250.8,7224,WEST SHORE SYMPHONY ORCHESTRA INC,PA,711130.0,A69
7390,222916942,201608,10000,0,10000,10000,10000,2017-990ez,4500.0,0.0,0,LASHIR INCORPORATED,NJ,711130.0,A6B
7419,223076453,201706,3546,0,2027,209,27030,2017-990ez,12163.5,0.0,0,THE SOUTH HADLEY COMMUNITY CHORUS INC,MA,711130.0,A6B
7420,223086821,201612,1986,0,10268,9193,10268,2017-990ez,4620.6,0.0,0,JUST OFF BROADWAY INC,NY,711110.0,A65
7440,223180610,201612,3100,0,3101,2392,3123,2017-990ez,1405.3500000000001,0.0,0,CONGRESS STREET BRASS BAND INC,NJ,711130.0,A6C
7441,223181811,201608,1191,18592,45920,40278,45920,2017-990ez,20664.0,8366.4,18592,SHORELINE YOUTH SYMPHONY ORCHESTRA INC,CT,711130.0,A69
7489,223577491,201612,26571,27980,54577,74931,54577,2017-990ez,24559.65,12591.0,12000000,ARTS GUILD NEW JERSEY INC,NJ,711100.0,A60
7510,223741016,201612,8456,59289,73822,74008,82574,2017-990ez,37158.3,26680.05,12000000,OFF BROAD STREET PLAYERS INC,NJ,711110.0,A65
7621,232308029,201606,23322,34346,63250,55142,63250,2017-990ez,28462.5,15455.7,12000000,HARRISBURG SINGERS,PA,711130.0,A6B
7625,232400404,201612,14010,0,55722,63003,159311,2017-990ez,71689.95,0.0,0,QUAKERTOWN MUSIC PROMOTERS ORGANIZATION INC,PA,711130.0,A68
7631,232529571,201612,0,0,1208,386,1208,2017-990ez,543.6,0.0,0,LANCASTER COUNTY FOLK MUSIC AND FIDDLERS SOCIETY LCFMFS,PA,711130.0,A6C
7694,236283567,201512,0,0,3861,5208,3861,2017-990ez,1737.45,0.0,0,THE WYOMISSING BAND OF WYOMISSING PA,PA,711130.0,A6C
7702,236298352,201704,702,9172,33103,29627,36708,2017-990ez,16518.600000000002,4127.400000000001,9172,SWEET ADELINES INTERNATIONAL,PA,711130.0,A6B
7703,236299561,201708,500,0,40512,30310,40512,2017-990ez,18230.4,0.0,0,NORTHEAST REGIONAL BALLET FESTIVAL ASSOCIATION,PA,711120.0,A63
7811,237089743,201706,13240,500,39244,38511,39244,2017-990ez,17659.8,225.0,500,MUSIC AND ART DEVELOPMENT INC,MA,711130.0,A68
7813,237091951,201706,20192,22173,81878,69225,82144,2017-990ez,36964.8,9977.85,22173,HUDSON CHORALE INC,NY,711130.0,A6B
7843,237113774,201706,10820,11283,32193,34454,32193,2017-990ez,14486.85,5077.35,11283,MERRIMACK VALLEY PHILHARMONIC SOCIETY INC,MA,711130.0,A69
7915,237155007,201609,28100,0,28100,33064,28100,2017-990ez,12645.0,0.0,0,SELMA COMMUNITY CONCERTS ASSOCIATION,AL,711130.0,A68
7923,237161090,201612,11180,96480,184705,160337,184705,2017-990ez,83117.25,43416.0,12000000,AUTOMATIC MUSICAL INSTRUMENT COLLECTORS ASSOCIATION,PA,711130.0,A68
