,EIN,Tax Year,Name,NAME,STATE,NAICS,NTEEFINAL
1148,10519080,2018,WESCUSTAGO YOUTH CHORALE,WESCUSTAGO YOUTH CHORALE,ME,711130.0,A6B
1166,10520850,2019,BREWER HOMETOWN BAND INC,BREWER HOMETOWN BAND INC,ME,711130.0,A6C
1175,10521818,2013,TRI-CITY COMMUNITY CHORUS,TRICITY COMMUNITY CHORUS INC,ME,711130.0,A6B
1176,10521834,2018,VINEGAR HILL YOUTH THEATRE,VINEGAR HILL YOUTH THEATRE,ME,711110.0,A65
1201,10525130,2019,DUNLAP HIGHLAND BAND INC,DUNLAP HIGHLAND BAND INC,ME,711130.0,A6C
1217,10526615,2019,RIVER COMPANY,RIVER COMPANY,ME,711110.0,A65
1264,10531754,2019,ST CECILIA CHAMBER CHOIR,ST CECILIA CHAMBER CHOIR,ME,711130.0,A6B
1315,10537803,2019,COMMUNITY CHORUS AT SOUTH BERWICK,COMMUNITY CHORUS AT SOUTH BERWICK,ME,711130.0,A6B
1338,10540056,2017,RENAISSANCE VOICES INC,RENAISSANCE VOICES INC,ME,711130.0,A6B
1341,10540524,2019,PENINSULA PAN,PENINSULA PAN,ME,711130.0,A68
1343,10540629,2019,WAYSIDE THEATRE INC,WAYSIDE THEATRE,ME,711110.0,A65
1348,10541474,2019,OPEN BOOK PLAYERS,OPEN BOOK PLAYERS,ME,711110.0,A65
1379,10545080,2019,ACADIA COMMUNITY THEATER,ACADIA COMMUNITY THEATER,ME,711110.0,A65
1390,10546595,2019,GREATER FREEPORT COMMUNITY CHORUS,GREATER FREEPORT COMMUNITY CHORUS,ME,711130.0,A6B
1425,10551398,2018,HIGHLANDS BAND ASSOCIATION INC,HIGHLANDS BAND ASSOCIATION INC,KY,711130.0,A6C
1442,10554421,2018,STRIKE PERCUSSION ENSEMBLE,STRIKE PERCUSSION ENSEMBLE,MI,711130.0,A6C
1447,10556535,2019,COOLIDGE CORNER COMMUNITY CHORUS,COOLIDGE CORNER COMMUNITY CHORUS,MA,711130.0,A6B
1468,10560112,2012,METROPOLITAN PERFORMING ARTS ALLIANCE INC,METROPOLITAN SCHOOL OF THE ARTS,VA,711100.0,A60
1474,10561195,2019,FINGER LAKES BRONZE INC,FINGER LAKES BRONZE INC,NY,711130.0,A68
1494,10565223,2018,CANTON COMMUNITY THEATRE INC,CANTON COMMUNITY THEATRE INC,MA,711110.0,A65
1540,10573144,2019,JANIE BRENDEL & FRIENDS INC,JANIE BRENDEL & FRIENDS INC,NY,711110.0,A65
1548,10573982,2019,FARAWAY STARS PRODUCTIONS LTD,FARAWAY STARS PRODUCTIONS LTD,MA,711110.0,A65
1559,10575932,2019,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,FL,711130.0,A6B
1576,10580184,2018,COMMUNITY DANCE ENSEMBLE INC,COMMUNITY DANCE ENSEMBLE INC,CT,711120.0,A62
1582,10580528,2018,CONCERTS BY THE BAY INC,CONCERTS BY THE BAY INC,VA,711130.0,A68
1588,10581546,2019,BIG HEAVY WORLD FOUNDATION INC,BIG HEAVY WORLD FOUNDATION INC,VT,711130.0,A68
1619,10587209,2007,T L T CHEER AND DANCE COMPANY INC,T L T CHEER AND DANCE COMPANY INC,GA,711120.0,A62
1681,10598781,2018,TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,CT,711120.0,A62
1688,10599655,2014,GOLDEN CHAMBER CHOIR,GOLDEN CHAMBER CHOIR,CO,711130.0,A6B
1731,10607155,2013,AFRICAN QUEENS,AFRICAN QUEENS,CA,711120.0,A62
1805,10621206,2018,MUSIC OF THE SPHERES SOCIETY INC,MUSIC OF THE SPHERES SOCIETY INC,NY,711130.0,A68
1870,10632051,2019,TOWN OF NEW LONDON BANDSTAND COMMITTEE INC,TOWN OF NEW LONDON BANDSTAND COMMITTEE INC,NH,711130.0,A69
1875,10632725,2019,GAMETOPHYTE INC,GAMETOPHYTE INC,NY,711100.0,A60
1894,10635574,2018,GLOBE THEATRE INC,GLOBE THEATRE INC,NY,711110.0,A65
1925,10639455,2019,PAVVA INUPIAQ DANCERS,PAVVA INUPIAQ DANCERS,AK,711120.0,A62
1946,10641844,2019,CROSSFIRE STEEL ORCHESTRA INC,CROSSFIRE STEEL ORCHESTRA INC,NY,711130.0,A69
1958,10643814,2019,EAST BAY TRADITIONAL JAZZ SOCIETY,EAST BAY TRADITIONAL JAZZ SOCIETY,CA,711130.0,A6C
1966,10645934,2018,SINGERS OF RENAISSANCE INC,SINGERS OF RENAISSANCE INC,NC,711130.0,A6B
1972,10647550,2018,BELLS OF THE HILLS INC,BELLS OF THE HILLS INC,SD,711130.0,A6C
2011,10653846,2019,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,NC,711130.0,A6B
2022,10655941,2019,MELLOWTONES BIG BAND INC,MELLOWTONES BIG BAND INC,NV,711130.0,A6C
2026,10656401,2016,IN THE BASEMENT PRODUCTIONS INC,IN THE BASEMENT PRODUCTIONS INC,MN,711110.0,A65
2053,10659779,2015,GOLDEN TRIANGLE PERFORMANCE ENSEMBLE,GOLDEN TRIANGLE PERFORMANCE ENSEMBLE,PA,711130.0,A6C
2071,10662531,2019,JOE HUBBARD MINISTRIES,JOE HUBBARD MINISTRIES,VA,711130.0,A68
2115,10670830,2019,NORTHWEST SINGING SENIORS,NORTHWEST SINGING SENIORS,MN,711130.0,A6B
2141,10674596,2017,PANEURHYTHMY CIRCLE OF JOY,PANEURHYTHMY CIRCLE OF JOY,MO,711120.0,A62
2147,10675353,2019,NH THEATRE FACTORY,NH THEATRE FACTORY,NH,711110.0,A65
2174,10681629,2017,THE ALCHEMISTS,THE ALCHEMISTS,NH,711110.0,A65
2214,10687802,2019,SOMOS PODOS,SOMOS PODOS,TX,711110.0,A65
2217,10689017,2019,WAUNAKEE COMMUNITY BAND INC,WAUNAKEE COMMUNITY BAND INC,WI,711130.0,A6C
2250,10694772,2016,ALL FOR ONE AFO FOUNDATION % HAROLD BATTISTE,ALL FOR ONE-AFO FOUNDATION,LA,711130.0,A68
2258,10696988,2019,NORTH COAST SYMPHONIC BAND ASSOCIATION,NORTH COAST SYMPHONIC BAND ASSOCIATION,OR,711130.0,A6C
2265,10698137,2018,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,ND,711130.0,A68
2271,10699643,2019,HARTFEL FOUNDATION,HARTFEL FOUNDATION,CA,711120.0,A63
2318,10706390,2019,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,FL,711130.0,A68
2339,10712663,2016,Island Concerts Committee,ISLAND CONCERTS COMMITTEE,NY,711130.0,A68
2350,10715307,2019,DANCETEAM USA INC,DANCETEAM USA INC A NEW JERSESY NONPROFIT CORPORATION,NJ,711120.0,A62
2365,10717017,2019,PHILIPPINE DANCE COMPANY OF SAN ANTONIO INC,PHILIPPINE DANCE COMPANY OF SAN ANTONIO INC,TX,711120.0,A62
2385,10721612,2019,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,GA,711130.0,A68
2443,10730797,2019,RIVER CITIES CONCERT ASSOCIATION INC,RIVER CITIES CONCERT ASSOCIATION INC,MI,711130.0,A68
2465,10733873,2013,CHEVALIER THEATRE ORGAN SOCIETY,CHEVALIER THEATRE ORGAN SOCIETY,MA,711110.0,A65
2468,10734181,2016,THE JAZZ JOURNALISTS ASSOCIATION INC,JAZZ JOURNALISTS ASSOCIATION,NY,711130.0,A6C
2597,10757751,2019,PLAN IT GREEN INC,PLAN IT GREEN INC,GA,711100.0,A60
2604,10758900,2014,SYRACUSE SHAKESPEARE FESTIVAL CORP,SYRACUSE SHAKESPEARE FESTIVAL CORP,NY,711110.0,A65
2690,10774087,2018,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,SC,711130.0,A68
2723,10779377,2019,CUBRAITI INC,CUBRAITI INC,NY,711120.0,A62
2816,10793620,2019,WALWORTH MUSIC FOUNDATION,WALWORTH MUSIC FOUNDATION,OR,711130.0,A68
2875,10801629,2019,ALL SEASONS THEATRE COMPANY INCORPORATED,ALL SEASONS THEATRE COMPANY INCORPORATED,MA,711110.0,A65
2897,10805318,2019,RIVOLI CENTER FOR THE PERFORMING ARTS INC,RIVOLI CENTER FOR THE PERFORMING ARTS INC,IN,711100.0,A61
2909,10808301,2019,A BAND OF BROTHERS INC,A BAND OF BROTHERS INC,OH,711130.0,A6C
2912,10808556,2018,DRAMA OF WORKS INC,DRAMA OF WORKS INC,NY,711110.0,A65
2964,10818077,2018,FOUR FLAGS PLAYERS,FOUR FLAGS PLAYERS,MI,711110.0,A65
3041,10825812,2018,The Perry Street Theatre Company Inc,PERRY STREET THEATRE COMPANY INC,NY,711110.0,A65
3079,10831708,2019,THEATRE PRO RATA,THEATRE PRO RATA,MN,711110.0,A65
3097,10834859,2019,UPPER OHIO VALLEY OPERA GUILD,UPPER OHIO VALLEY OPERA GUILD,OH,711130.0,A6A
3129,10840366,2019,ELDORADO CHILDRENS THEATRE,ELDORADO CHILDRENS THEATRE,NM,711110.0,A65
3226,10854024,2019,EPITOME PRODUCTIONS,EPITOME PRODUCTIONS,IL,711100.0,A60
3261,10858847,2019,RIVER CITY POPS,RIVER CITY POPS,MO,711130.0,A6B
3342,10868897,2018,REDWOOD JAZZ ALLIANCE,REDWOOD JAZZ ALLIANCE,CA,711130.0,A6C
3356,10870195,2018,BROOKLYN COMMUNITY WIND ENSEMBLE AND CONCERT BAND INC,BROOKLYN COMMUNITY WIND ENSEMBLE AND CONCERT BAND INC,NY,711130.0,A6C
3363,10870795,2019,SMOKIN BACHI TAIKO INC,SMOKIN BACHI TAIKO INC,NM,711130.0,A6C
3365,10871105,2017,EVANSVILLE JAZZ SOCIETY,EVANSVILLE JAZZ SOCIETY,IN,711130.0,A6C
3445,10883090,2019,MAKING ART GROW IN CHILDREN INC,MAKING ART GROW IN CHILDREN INC,KY,711120.0,A62
3501,10890989,2019,ONE VOICE INTERNATIONAL INC,ONE VOICE INTERNATIONAL INC,CA,711130.0,A68
3515,10893642,2010,DEVELOPING KINGDOMS IN DIFFERENT STAGES,DEVELOPING KINGDOMS IN DIFFERENT STAGES,MI,711110.0,A65
3555,10898286,2018,CYPRESS WOODS HIGH SCHOOL ORCHESTRA PARENTS ASSOCIATION,CYPRESS WOODS HIGH SCHOOL ORCHESTRA PARENTS ASSOCIATION,TX,711130.0,A69
3578,10900453,2019,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,KS,711130.0,A68
3654,10907537,2019,MUSIC WITHOUT BORDERS INC,MUSIC WITHOUT BORDERS INC,NY,711130.0,A68
3705,10912113,2019,HERMANN SONS LIFE,HERMANN SONS LIFE,TX,711120.0,A62
3797,10918626,2013,BALLET FOLKLORICO ANAHUAC,BALLET FOLKLORICO ANAHUAC,CA,711120.0,A63
3809,10919681,2019,DANCERS UNLIMITED,DANCERS UNLIMITED,CA,711120.0,A62
3811,10919726,2017,TINYS PERFORMAING ARTS CENTER NFP,TINYS PERFORMAING ARTS CENTER NFP,IL,711100.0,A61
3887,10927346,2018,RIVER THEATER COMPANY,RIVER THEATER COMPANY,NH,711110.0,A65
3904,10928555,2018,PATRIOT CHORUS BOOSTERS INC,PATRIOT CHORUS BOOSTERS INC,FL,711130.0,A6B
3922,10930230,2019,NATIONAL FEDERATION OF MUSIC CLUBS,NATIONAL FEDERATION OF MUSIC CLUBS,PA,711130.0,A68
3924,10930462,2019,MAT-SU COMMUNITY CHORUS,MAT-SU COMMUNITY CHORUS,AK,711130.0,A6B
3930,10930757,2013,THE CHARACTERS INC,THE CHARACTERS INC,AL,711100.0,A61
4035,10936487,2019,JILL M TAYLOR DANCE COMPANY,JILL M TAYLOR DANCE COMPANY,NC,711120.0,A62
4049,10937547,2016,NOSEDIVEPRODUCTIONSINC,NOSEDIVE PRODUCTIONS INC,NY,711110.0,A65
4061,10938170,2018,ARTSTRIDES INC,ARTSTRIDES INC,NY,711100.0,A61
4067,10939164,2018,KENTUCKY PLAYWRIGHTS WORKSHOP INC,KENTUCKY PLAYWRIGHTS WORKSHOP INC,KY,711110.0,A65
4120,10943614,2019,BROADWAY IN THE PARK,BROADWAY IN THE PARK,CA,711100.0,A60
4211,10951381,2018,THE ARLINGTON CHILDRENS CHORUS,THE ARLINGTON CHILDRENS CHORUS,VA,711130.0,A6B
4289,10958100,2019,MERRIMACK VALLEY FLUTE CHOIR,MERRIMACK VALLEY FLUTE CHOIR,NH,711130.0,A6B
4306,10959717,2019,WESOLY LUD POLISH FOLK DANCE CO INC,WESOLY LUD POLISH FOLK DANCE CO INC,IL,711120.0,A62
4341,10962483,2019,JOHARA DANCE ENSEMBLE,JOHARA DANCE ENSEMBLE,TX,711120.0,A62
4388,10965335,2014,DEZART PERFORMS,DEZART PERFORMS,CA,711100.0,A60
4458,10969773,2019,SNAPS INC SPECIAL NEEDS AUTISM AT PLAY SERVICES,SNAPS INC SPECIAL NEEDS AUTISM AT PLAY SERVICES,CT,711110.0,A65
4460,10969917,2010,JOYFUL SOUNDS MINISTRIES,JOYFUL SOUNDS MINISTRIES,FL,711130.0,A68
4482,10973033,2019,SWEET ADELINES INTERNATIONAL,SWEET ADELINES INTERNATIONAL,TX,711130.0,A6B
4486,10973172,2019,NEW RESONANCE ORCHESTRA INC,NEW RESONANCE ORCHESTRA INC,LA,711130.0,A69
4491,10973802,2019,SHE & HER PRODUCTIONS,SHE & HER PRODUCTIONS,KS,711110.0,A65
4526,10976983,2019,NEW CASTLE LYRIC OPERA COMPANY,NEW CASTLE LYRIC OPERA COMPANY,PA,711130.0,A6A
4701,16018602,2018,FOX ISLAND CONCERTS INC,FOX ISLAND CONCERTS INC,ME,711130.0,A68
4809,16019390,2019,AUGUSTA PLAYERS INC DBA GASLIGHT THEATER,AUGUSTA PLAYERS INC DBA GASLIGHT THEATER,ME,711110.0,A65
4846,16021590,2019,BATH MUNICIPAL BAND,BATH MUNICIPAL BAND,ME,711130.0,A6C
4892,16023554,2019,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,ME,711130.0,A6B
5034,20157913,2019,SAN ANGELO BLUES SOCIETY INC,SAN ANGELO BLUES SOCIETY INC,TX,711130.0,A68
5036,20167679,2019,COCHISE COUNTY YOUTH ORCHESTRA,COCHISE COUNTY YOUTH ORCHESTRA,AZ,711130.0,A69
5087,20270736,2019,SACRED DANCE GUILD,SACRED DANCE GUILD,MD,711120.0,A62
5126,20327259,2019,SWEET ADELINES INTERNATIONAL,SWEET ADELINES INTERNATIONAL,NH,711130.0,A6B
5149,20331666,2019,PEMIGEWASSET CHORAL SOCIETY,PEMIGEWASSET CHORAL SOCIETY,NH,711130.0,A6B
5163,20333790,2016,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,NH,711130.0,A6B
5202,20341861,2019,AMARE CANTARE,AMARE CANTARE,NH,711130.0,A6B
5203,20342174,2018,MUSKEG MUSIC INC,MUSKEG MUSIC INC,NH,711130.0,A68
5217,20346815,2018,KEENE CHORALE INC THE,KEENE CHORALE INC THE,NH,711130.0,A6B
5227,20349073,2019,GRANITE STATE CHAPTER AMERICAN PROD AND INVENTORY CONTROL SOCIETY,GRANITE STATE CHAPTER AMERICAN PROD AND INVENTORY CONTROL SOCIETY,NH,711100.0,A60
5271,20358454,2019,NASHUA THEATRE GUILD,NASHUA THEATRE GUILD,NH,711110.0,A65
5275,20358818,2019,HARMONY INC,HARMONY INC,NH,711130.0,A68
5277,20359613,2016,Upstage Players,UPSTAGE PLAYERS,NH,711110.0,A65
5283,20360313,2019,BEL CANTO CHAMBER SINGERS INC,BEL CANTO CHAMBER SINGERS INC,NH,711130.0,A6B
5310,20365302,2019,GREATER KEENE POPS CHOIR,GREATER KEENE POPS CHOIR,NH,711130.0,A6B
5366,20375137,2018,CONCORD COMMUNITY CONCERT ASSOCIATION,CONCORD COMMUNITY CONCERT ASSOCIATION,NH,711130.0,A68
5393,20383492,2019,FREESE BROTHERS BIG BAND,FREESE BROTHERS BIG BAND,NH,711130.0,A6C
5418,20395108,2019,SUNCOOK VALLEY CHORALE INC,SUNCOOK VALLEY CHORALE INC,NH,711130.0,A6B
5436,20397968,2018,DISCOVER DANCE INC,DISCOVER DANCE INC,NH,711120.0,A63
5465,20410455,2017,SEACOAST CIVIC DANCE COMPANY INC,SEACOAST CIVIC DANCE COMPANY INC,NH,711120.0,A62
5478,20415654,2012,MELROSE BANDAIDERS INC,MELROSE BANDAIDERS INC,MA,711130.0,A6C
5488,20418122,2019,NEW HAMPSHIRE AMATEUR BALLROOM DANCERS ASSOCIATION,NEW HAMPSHIRE AMATEUR BALLROOM DANCERS ASSOCIATION,NH,711120.0,A63
5490,20418669,2019,Seacoast Wind Ensemble,SEACOAST WIND ENSEMBLE INC,NH,711130.0,A6C
5516,20425215,2019,NEW HAMPSHIRE COUNTRY MUSIC ASSOC,NEW HAMPSHIRE COUNTRY MUSIC ASSOC,NH,711130.0,A6C
5572,20437990,2019,SOUHEGAN VALLEY CHORUS INC,SOUHEGAN VALLEY CHORUS INC,NH,711130.0,A6B
5575,20438503,2018,STRATHSPEY & REEL SOCIETY OF NEW HAMPSHIRE,STRATHSPEY & REEL SOCIETY OF NEW HAMPSHIRE,NH,711100.0,A60
5593,20442177,2019,WALPOLE PLAYERS INC,WALPOLE PLAYERS INC,NH,711110.0,A65
5599,20443743,2018,SEACOAST JAZZ SOCIETY,SEACOAST JAZZ SOCIETY,NH,711130.0,A6C
5624,20448214,2019,STRAFFORD COUNTY WIND SYMPHONY,STRAFFORD COUNTY WIND SYMPHONY,NH,711130.0,A69
5654,20452172,2019,LYME TOWN BAND,LYME TOWN BAND,NH,711130.0,A6C
5688,20456742,2018,SWEET ADELINES INTERNATIONAL,SWEET ADELINES INTERNATIONAL,VT,711130.0,A6B
5795,20472774,2015,TIMBERLANE MUSIC ASSOCIATION,TIMBERLANE MUSIC ASSOCIATION,NH,711130.0,A68
5845,20480459,2019,SUNAPEE KEARSARGE INTERCOMMUNITY THEATER-SKIT,SUNAPEE KEARSARGE INTERCOMMUNITY THEATER-SKIT,NH,711110.0,A65
5889,20484681,2019,FRIENDS OF THE NORTH HAMPTON BANDSTAND INC,FRIENDS OF THE NORTH HAMPTON BANDSTAND INC,NH,711100.0,A60
5893,20485333,2019,KEARSARGE COMMUNITY BAND INC,KEARSARGE COMMUNITY BAND INC,NH,711130.0,A6C
5895,20485741,2019,BEDFORD OFF BROADWAY INC,BEDFORD OFF BROADWAY INC,NH,711100.0,A61
5898,20485795,2019,GRANITE STATE CHORAL SOCIETY,GRANITE STATE CHORAL SOCIETY,NH,711130.0,A6B
5903,20486603,2016,PETERBOROUGH FOLK MUSIC SOCIETY,PETERBOROUGH FOLK MUSIC SOCIETY,NH,711130.0,A6C
5907,20486894,2018,HALF MOON SOBER FESTIVAL INCORPORATED,HALF MOON SOBER FESTIVAL INCORPORATED,NH,711100.0,A60
5912,20488589,2018,SCOTS HIGHLAND PIPES & DRUMS INC,SCOTS HIGHLAND PIPES & DRUMS INC,NH,711130.0,A68
5958,20494545,2010,SEACOAST COMMUNITY CHAMBER ORCHESTRA,SEACOAST COMMUNITY CHAMBER ORCHESTRA,NH,711130.0,A69
5964,20495782,2019,THE MOUNT WASHINGTON VALLEY CHORAL SOCIETY,THE MOUNT WASHINGTON VALLEY CHORAL SOCIETY,NH,711130.0,A6B
6009,20502848,2008,FRANKLIN OPERA HOUSE RESTORATION COMMITTEE,FRANKLIN OPERA HOUSE RESTORATION COMMITTEE,NH,711100.0,A61
6090,20513301,2019,DOLLARS FOR DANCERS,DOLLARS FOR DANCERS,NH,711120.0,A62
6094,20514201,2019,HARMONY INC,HARMONY INC,NH,711130.0,A68
6158,20522160,2019,PROJECT SHAKESPEARE,PROJECT SHAKESPEARE,NH,711110.0,A65
6176,20524211,2019,TIMBERLANE COMMUNITY BAND,TIMBERLANE COMMUNITY BAND,NH,711130.0,A6C
6181,20524442,2017,PERFORM IT YOUNG PEOPLES STAGE COMPANY,PERFORM IT YOUNG PEOPLES STAGE COMPANY,NH,711110.0,A65
6213,20528030,2019,BRANCH RIVER THEATRE INC-KEENE COMMUNITY THEATRE INC,BRANCH RIVER THEATRE INC-KEENE COMMUNITY THEATRE INC,NH,711110.0,A65
6227,20529555,2013,M & D PRODUCTIONS,M & D PRODUCTIONS,NH,711100.0,A60
6295,20540769,2019,MAESTRI DELLA DANZA DANCE CO,MAESTRI DELLA DANZA DANCE CO,PA,711120.0,A62
6341,20548742,2019,AURORA BRASS CHAMBER MUSIC ASSOCIATION,AURORA BRASS CHAMBER MUSIC ASSOCIATION,MN,711130.0,A6C
6348,20549589,2016,SOUTHERN OREGON BLUES SOCIETY,SOUTHERN OREGON BLUES SOCIETY,OR,711130.0,A68
6389,20558271,2019,GRAFTON CORNET BAND,GRAFTON CORNET BAND,VT,711130.0,A6C
6409,20561837,2019,SINE NOMINE INC,SINE NOMINE INC,MA,711130.0,A68
6443,20569320,2016,BROOKLYN BALLET INC,BROOKLYN BALLET INC,NY,711120.0,A63
6460,20572789,2019,PORTLAND THEATRE WORKS,PORTLAND THEATRE WORKS,OR,711110.0,A65
6465,20573184,2019,MILFORD JAZZ FESTIVAL,MILFORD JAZZ FESTIVAL,PA,711130.0,A6C
6495,20578791,2018,The Richard Wagner Society Of Florida Inc,THE RICHARD WAGNER SOCIETY OF FLORIDA INC,FL,711130.0,A6A
6540,20586583,2019,The Twin Falls Municipal Band Inc c/o Sandy Hacking,TWIN FALLS MUNICIPAL BAND,ID,711130.0,A6C
6605,20596990,2019,ALAMO CITY COMMUNITY MARCHING BAND INC,ALAMO CITY COMMUNITY MARCHING BAND INC,TX,711130.0,A6C
6608,20597206,2019,DRES PATHWAY TO POSSIBILITIES INC,DRES PATHWAY TO POSSIBILITIES INC,FL,711100.0,A61
6620,20598320,2019,BEN-DOR MUSIC DISCOVERY PROJECT CORP,BEN-DOR MUSIC DISCOVERY PROJECT CORP,NJ,711130.0,A68
6720,20617728,2007,PIPER THEATRE PRODUCTIONS INC,PIPER THEATRE PRODUCTIONS INC,NY,711110.0,A65
6757,20625125,2017,VIRGIN VALLEY THEATRE GROUP,VIRGIN VALLEY THEATRE GROUP,NV,711110.0,A65
6852,20641610,2019,CALLIOPE FEMINIST CHOIR,CALLIOPE FEMINIST CHOIR,OH,711130.0,A6B
