,100_of_Earned_upto_45_Gross_max_10m,45_of_Earned_max_10m,45_of_Gross_max_10m,EIN,Number of employees,Source,contributed_rev,earned_program_service_rev,gross_rev,tax_pd,total_exp,total_rev,NAME,STATE,NAICS,NTEEFINAL
5000,0.0,0.0,30249.45,952975080,0,2017-990,66737,0,67221,201512,14505,67221,IMPERIAL VALLEY SYMPHONY ASSOCIATION,CA,711130.0,A69
5036,45711.0,41641.200000000004,45711.0,954333906,0,2017-990,9044,92536,101580,201612,129194,101580,MALIBU STAGE COMPANY,CA,711110.0,A65
5135,0.0,0.0,9247.050000000001,10554421,0,2017-990ez,20549,0,20549,201512,16218,20549,STRIKE PERCUSSION ENSEMBLE,MI,711130.0,A6C
5229,14387.4,7416.900000000001,14387.4,20270736,0,2017-990ez,7943,16482,31972,201612,37671,31972,SACRED DANCE GUILD,MD,711120.0,A62
5231,15063.300000000001,12667.050000000001,15063.300000000001,20349073,0,2017-990ez,0,28149,33474,201706,35847,33474,GRANITE STATE CHAPTER AMERICAN PROD AND INVENTORY CONTROL SOCIETY,NH,711100.0,A60
5250,0.0,0.0,14251.050000000001,20486894,0,2017-990ez,25610,0,31669,201609,33754,30437,HALF MOON SOBER FESTIVAL INCORPORATED,NH,711100.0,A60
5335,4300.0,1935.0,5211.0,30414966,0,2017-990ez,7280,4300,11580,201612,9134,11580,SAMAVESHA,CA,711130.0,A68
5383,386.1,191.25,386.1,42673528,0,2017-990ez,373,425,858,201608,277,858,REVONTULET INC,MA,711100.0,A60
5401,8119.0,3653.55,10715.4,42874912,0,2017-990ez,13193,8119,23812,201706,23940,23812,ASHMONT HILL CHAMBER MUSIC INC,MA,711130.0,A6C
5413,0.0,0.0,16575.75,43060347,0,2017-990ez,36835,0,36835,201609,35988,36835,PILGRIM THEATRE RESEARCH AND PERFORMANCE COLLABORATIVE INC,MA,711110.0,A65
5417,0.0,0.0,5535.900000000001,43112318,0,2017-990ez,4300,0,12302,201609,8049,390,BOSTON THEATER CRITICS ASSOCIATION INC,MA,711110.0,A65
5434,30633.0,13784.85,38646.450000000004,43248552,0,2017-990ez,1700,30633,85881,201512,84238,84554,MILFORD PERFORMING ARTS CTR INC,MA,711100.0,A61
5464,0.0,0.0,7905.150000000001,43401960,0,2017-990ez,0,0,17567,201607,12467,13580,DANCE EXPRESSIONS SCHOLARSHIP FUND INC,MA,711120.0,A62
5481,19212.3,12084.300000000001,19212.3,43505960,0,2017-990ez,15841,26854,42694,201706,52609,42694,WALDEN CHAMBER PLAYERS INC,MA,711130.0,A6C
5503,0.0,0.0,0.0,43622083,0,2017-990ez,0,0,0,201606,0,0,WITS END PLAYERS INC,NY,711110.0,A65
5507,0.0,0.0,5480.1,43661160,0,2017-990ez,12170,0,12178,201612,0,1414,THE EXOTICS BAND FOUNDATION,SC,711130.0,A6C
5544,6172.650000000001,3892.5,6172.650000000001,46074499,0,2017-990ez,5036,8650,13717,201612,10810,13717,CHATHAM BAND INC,MA,711130.0,A6C
5551,86625.90000000001,44811.450000000004,86625.90000000001,46139578,0,2017-990ez,28906,99581,192502,201612,208017,192502,SOCIETY FOR PRESERVATION & ANCRGMNT OF BARBERSHOP QUARTET SINGING AMER,NH,711130.0,A6B
5584,6350.400000000001,4485.150000000001,6350.400000000001,50538978,0,2017-990ez,2736,9967,14112,201512,12460,14094,LEX-HAM COMMUNITY ARTS,MN,711100.0,A60
5586,5393.0,2426.85,14943.6,50544595,0,2017-990ez,27815,5393,33208,201606,26700,33208,SERAPHIM SINGERS INC,MA,711130.0,A6B
5589,3370.05,2397.6,3370.05,50554866,0,2017-990ez,0,5328,7489,201608,14966,7489,DRUMCLIFFE PARENTS ORGANIZATION INC,NY,711120.0,A62
5597,0.0,0.0,8235.0,50581428,0,2017-990ez,325,0,18300,201606,8757,9034,MCKAMY ORCHESTRA BOOSTER,TX,711130.0,A69
5613,9680.85,8370.0,9680.85,60966305,0,2017-990ez,1500,18600,21513,201612,26174,21513,CLOCKWORK PRODUCTIONS INC,CT,711110.0,A65
5635,20840.0,9378.0,48440.700000000004,61290527,0,2017-990ez,86494,20840,107646,201406,126200,107646,CONNECTICUT DANCE THEATRE INC,CT,711120.0,A62
5638,0.0,0.0,2728.8,61306655,0,2017-990ez,6064,0,6064,201608,1418,6064,NEW HAVEN ORATORIO CHOIR INC,CT,711130.0,A6B
5695,616.5,526.5,616.5,61657655,0,2017-990ez,200,1170,1370,201612,3011,1370,EGOART INC,MA,711100.0,A60
5697,0.0,0.0,18223.2,61665379,0,2017-990ez,20226,0,40496,201612,39345,36178,SHADES OF PRAISE THE NEW ORLEANS INTERRACIAL GOSPEL CHOIR INC,LA,711130.0,A6B
5764,0.0,0.0,25367.850000000002,110615740,0,2017-990ez,56373,0,56373,201612,43114,56373,SOUL TIGERS MARCHING BAND INC,NY,711130.0,A6C
5853,0.0,0.0,0.0,113496360,0,2017-990ez,0,0,0,201512,0,0,FOCUS HAITIAN MUSIC INC,NY,711130.0,A68
5894,6127.0,2757.15,8244.9,113757378,0,2017-990ez,10070,6127,18322,201606,23299,18322,HUMAN FUTURE DANCE CORPS INC,NY,711120.0,A62
5907,0.0,0.0,11501.1,113814256,0,2017-990ez,23083,0,25558,201706,27716,25212,TURPIN ORCHESTRA BOOSTERS ASSOCIATION INC T O B A,OH,711130.0,A69
5923,1113.0,500.85,1319.4,116044328,0,2017-990ez,1819,1113,2932,201612,5899,2932,WALDORF CHORAL SOCIETY,NY,711130.0,A6B
5933,0.0,0.0,25.650000000000002,116111498,0,2017-990ez,0,0,57,201612,0,57,BROOKLYN CHAPTER SWEET ADELINES INTERNATIONAL,NY,711130.0,A6B
5941,0.0,0.0,30060.9,132744083,0,2017-990ez,650,0,66802,201612,46621,66802,FANFARE THEATRE ENSEMBLE INC,NY,711110.0,A65
5948,0.0,0.0,0.0,132961164,0,2017-990ez,0,0,0,201606,5193,0,MOZARTEAN PLAYERS INC,NY,711110.0,A65
5953,0.0,0.0,17810.100000000002,133020002,0,2017-990ez,0,0,39578,201703,32825,39578,DANCE THEATRE IN WESTCHESTER INC,NY,711120.0,A62
5954,29627.100000000002,29627.100000000002,29627.100000000002,133022873,0,2017-990ez,0,65838,65838,201702,61366,65838,HUDSON VAGABOND PUPPETS INCORPORATE,NY,711110.0,A65
5955,60692.85,43743.6,60692.85,133040912,0,2017-990ez,37661,97208,134873,201606,122257,134873,CAPOEIRA FOUNDATION INC,NY,711120.0,A62
5960,10980.45,4970.25,10980.45,133127239,0,2017-990ez,13356,11045,24401,201612,25719,24401,PERFORMERS OF WESTCHESTER INC,NJ,711130.0,A68
5963,0.0,0.0,675.0,133201190,0,2017-990ez,1500,0,1500,201612,1500,1500,RENAISSANCE CHINESE OPERA SOCIETY,NY,711130.0,A6A
5970,20977.65,16432.65,20977.65,133335670,0,2017-990ez,10100,36517,46617,201609,96599,46617,CROSS PERFORMANCE INC,NY,711100.0,A60
5978,7335.900000000001,7335.900000000001,7335.900000000001,133512706,0,2017-990ez,0,16302,16302,201612,16360,16302,GOTHAM CITY IMPROV INC,NY,711110.0,A65
5980,0.0,0.0,1690.2,133529676,0,2017-990ez,1500,0,3756,201706,8879,3756,THIS MUSICS FOR YOU INC,NY,711130.0,A68
6022,0.0,0.0,0.0,134019063,0,2017-990ez,0,0,0,201606,0,0,PANO PRA MANGA ARTS INC,NY,711120.0,A62
6034,0.0,0.0,559.35,134129688,0,2017-990ez,1243,0,1243,201612,3522,1243,IN PARENTHESES INC,NY,711100.0,A60
6045,0.0,0.0,0.0,134191733,0,2017-990ez,0,0,0,201612,0,0,HANDCART ENSEMBLE INC,PA,711130.0,A6C
6063,28327.0,12747.15,38013.3,134310505,0,2017-990ez,56147,28327,84474,201612,80135,84474,DANCING PEOPLE COMPANY,OR,711120.0,A62
6081,0.0,0.0,24165.45,136162746,0,2017-990ez,53701,0,53701,201612,26013,53701,CENTRE SYMPHONY SOCIETY INC,NY,711130.0,A69
6128,0.0,0.0,875.25,141813145,0,2017-990ez,1945,0,1945,201612,2700,1945,YOUNG MUSICIANS FORUM INC,NY,711130.0,A68
6133,0.0,0.0,1378.8,141825219,0,2017-990ez,3064,0,3064,201512,4615,3064,SCHOHARIE CREEK PLAYERS INC,NY,711110.0,A65
6205,25342.2,16518.15,25342.2,161157978,0,2017-990ez,17167,36707,56316,201612,54919,56316,ONTARIO CENTER FOR PERFORMING ARTS INC,NY,711100.0,A61
6210,0.0,0.0,0.0,161217525,0,2017-990ez,0,0,0,201612,4938,0,GIRLS DRUM AND BUGLE CORPS OF OWEGO NY INC,NY,711130.0,A6C
6236,703.35,675.0,703.35,161438300,0,2017-990ez,0,1500,1563,201612,1500,1563,ORAN MOR PIPE BAND INC,NY,711130.0,A6C
6272,4700.0,2115.0,19289.7,161576128,0,2017-990ez,14131,4700,42866,201609,44970,42866,SIGNATURE BAND & CHOIR CAMP INC,NY,711130.0,A6B
6278,992.0,446.40000000000003,6422.400000000001,161602003,0,2017-990ez,3280,992,14272,201612,5947,-122276,UPSTATE PERFORMING ARTS COMPANY INC,NY,711100.0,A60
6326,2765.0,1244.25,47603.700000000004,200010809,0,2017-990ez,103021,2765,105786,201612,106072,105786,KALEIDOSCOPE DANCE THEATRE INC,NY,711120.0,A62
6392,0.0,0.0,54997.65,200482372,0,2017-990ez,122217,0,122217,201608,82357,122217,VIBE THEATER EXPERIENCE,NY,711110.0,A65
6398,19297.8,17439.75,19297.8,200526942,0,2017-990ez,3044,38755,42884,201706,55720,42884,EAST CHICAGO CARNEGIE PERFORMING ARTS CENTER INC,IN,711100.0,A61
6457,9138.6,6918.3,9138.6,201030873,0,2017-990ez,4934,15374,20308,201612,30890,20308,FACTION OF FOOLS THEATRE COMPANY INC,DC,711110.0,A65
6597,10976.0,4939.2,64541.25,202013274,0,2017-990ez,132449,10976,143425,201612,170379,143425,ORACLE PRODUCTIONS AN ILLINOIS NONPROFIT CORPORATION,IL,711110.0,A65
6617,1222.65,1222.65,1222.65,202150103,0,2017-990ez,0,2717,2717,201612,10207,2717,KINGSMEN STARCORPS,CA,711100.0,A60
6651,0.0,0.0,14814.9,202463725,0,2017-990ez,26900,0,32922,201612,32467,32922,SLAVENSKA DANCE PRESERVATION INC,CA,711120.0,A62
6714,3693.0,1661.8500000000001,6579.0,202982601,0,2017-990ez,6770,3693,14620,201607,11803,14620,ANNAS BAY MUSIC FESTIVAL,WA,711130.0,A68
6719,54502.200000000004,45836.55,54502.200000000004,203030760,0,2017-990ez,19257,101859,121116,201612,115750,121116,LIL BUDS THEATRE COMPANY,IL,711110.0,A65
6729,0.0,0.0,156.6,203087563,0,2017-990ez,0,0,348,201612,4835,348,PROJECT PLAY,CA,711110.0,A65
6775,0.0,0.0,23648.4,203381973,0,2017-990ez,52552,0,52552,201612,50503,52552,PUENTE HILLS CONCERTS IN THE PARK,CA,711130.0,A68
6840,0.0,0.0,28084.05,203837950,0,2017-990ez,62409,0,62409,201612,59722,62409,UBIQUITOUS MUSIC INC,CA,711130.0,A68
6842,13428.0,13428.0,13428.0,203883220,0,2017-990ez,0,29840,29840,201612,28000,29840,DANCE LEGACY BOOSTER INC,IN,711120.0,A62
6856,0.0,0.0,0.0,203990237,0,2017-990ez,0,0,0,201607,0,0,AMERICAN REPERTORY ENSEMBLE,KS,711130.0,A6C
6864,0.0,0.0,2250.0,204039820,0,2017-990ez,5000,0,5000,201612,5000,5000,STRINGS FOR KIDS INC,ID,711130.0,A68
6903,9049.0,4072.05,9436.95,204433278,0,2017-990ez,3132,9049,20971,201707,18119,20971,THE HALALISA SINGERS INC,MA,711130.0,A6B
6910,1980.0,891.0,2793.15,204503909,0,2017-990ez,4227,1980,6207,201612,7191,6207,SOUTHERN ILLINOIS YOUNG ARTISTORGANIZATION NFP,IL,711100.0,A60
6925,60009.0,27004.05,61317.0,204626281,0,2017-990ez,42990,60009,136260,201612,130770,135773,BAYOU CITY CONCERT MUSICALS,TX,711110.0,A65
6938,900.0,900.0,900.0,204735521,0,2017-990ez,0,2000,2000,201612,3401,2000,DETROIT TECHNO FOUNDATION,MI,711130.0,A68
6965,14716.35,7397.55,14716.35,204928546,0,2017-990ez,16264,16439,32703,201612,40282,32703,SOUND CIRCLE EURYTHMY,CO,711120.0,A62
7004,6598.0,2969.1,12829.5,205096250,0,2017-990ez,8209,6598,28510,201606,40258,28009,BELLA VOCE INC,NY,711130.0,A6B
7038,0.0,0.0,675.0,205337887,0,2017-990ez,1500,0,1500,201612,0,1500,NATIONAL BALLET OF DENVER,CO,711120.0,A63
7123,0.0,0.0,9418.5,205905547,0,2017-990ez,20930,0,20930,201612,19610,20930,SHOWDOWN STAGE CORPORATION,CA,711110.0,A65
7176,0.0,0.0,4472.55,208280788,0,2017-990ez,9274,0,9939,201606,9470,9470,RED FERN THEATRE COMPANY INC,NY,711110.0,A65
7196,4985.0,2243.25,5462.55,208379570,0,2017-990ez,7155,4985,12139,201607,11438,12139,WASHINGTON SINFONIETTA,VA,711130.0,A69
7241,0.0,0.0,6279.75,208755227,0,2017-990ez,13955,0,13955,201612,3916,13955,5RHYTHMS REACH OUT INC,UT,711100.0,A60
7271,2159.0,971.5500000000001,4266.45,208972128,0,2017-990ez,7322,2159,9481,201704,8061,9481,VOX 3 COLLECTIVE INC NFP,IL,711130.0,A6B
7309,5360.0,2412.0,16647.3,222270536,0,2017-990ez,31430,5360,36994,201706,36994,36994,CONCERTED EFFORT INC,NY,711130.0,A68
7348,3695.0,1662.75,14638.050000000001,222549628,0,2017-990ez,15123,3695,32529,201606,33434,32435,THE BINGHAMTON YOUTH SYMPHONY INC,NY,711130.0,A69
7350,9257.0,4165.650000000001,12040.65,222558454,0,2017-990ez,17500,9257,26757,201612,24013,26757,EAST STREET DANCE CENTER INC,MA,711120.0,A62
7383,7224.0,3250.8,25586.100000000002,222837683,0,2017-990ez,49594,7224,56858,201606,32621,56858,WEST SHORE SYMPHONY ORCHESTRA INC,PA,711130.0,A69
7390,0.0,0.0,4500.0,222916942,0,2017-990ez,10000,0,10000,201608,10000,10000,LASHIR INCORPORATED,NJ,711130.0,A6B
7419,0.0,0.0,12163.5,223076453,0,2017-990ez,3546,0,27030,201706,209,2027,THE SOUTH HADLEY COMMUNITY CHORUS INC,MA,711130.0,A6B
7420,0.0,0.0,4620.6,223086821,0,2017-990ez,1986,0,10268,201612,9193,10268,JUST OFF BROADWAY INC,NY,711110.0,A65
7440,0.0,0.0,1405.3500000000001,223180610,0,2017-990ez,3100,0,3123,201612,2392,3101,CONGRESS STREET BRASS BAND INC,NJ,711130.0,A6C
7441,18592.0,8366.4,20664.0,223181811,0,2017-990ez,1191,18592,45920,201608,40278,45920,SHORELINE YOUTH SYMPHONY ORCHESTRA INC,CT,711130.0,A69
7489,24559.65,12591.0,24559.65,223577491,0,2017-990ez,26571,27980,54577,201612,74931,54577,ARTS GUILD NEW JERSEY INC,NJ,711100.0,A60
7510,37158.3,26680.05,37158.3,223741016,0,2017-990ez,8456,59289,82574,201612,74008,73822,OFF BROAD STREET PLAYERS INC,NJ,711110.0,A65
7621,28462.5,15455.7,28462.5,232308029,0,2017-990ez,23322,34346,63250,201606,55142,63250,HARRISBURG SINGERS,PA,711130.0,A6B
7625,0.0,0.0,71689.95,232400404,0,2017-990ez,14010,0,159311,201612,63003,55722,QUAKERTOWN MUSIC PROMOTERS ORGANIZATION INC,PA,711130.0,A68
